EpThisIter,meankl,EpisodesSoFar,TimestepsSoFar,TimeElapsed,entropy,EpRewMean,ev_tdlam_before,EpTrueRewMean,EpLenMean,surrgain,optimgain,entloss
47,0.0070454236,47,1046,7.657239675521851,24.141111,18.308176,0.46792006492614746,104.56969228271991,22.075,0.14668304,0.14668304,0.0
42,0.0074146166,89,2069,14.305561304092407,24.120544,16.534302,0.3657251000404358,114.33097244856057,24.5,0.13939676,0.13939676,0.0
38,0.007083305,127,3083,20.984288215637207,24.075922,17.69479,0.41948211193084717,124.03829156375905,26.65,0.3614153,0.3614153,0.0
37,0.0070367022,164,4107,27.678743362426758,24.075989,17.501759,0.616450309753418,128.31577246177523,27.3,0.15353295,0.15353295,0.0
34,0.007594688,198,5126,34.364166021347046,24.068598,18.43487,0.5457762777805328,138.42592735984312,29.375,0.15146585,0.15146585,0.0
29,0.0075990055,227,6131,41.086708545684814,24.066168,21.438328,0.6281711161136627,157.8144283137834,33.675,0.1541866,0.1541866,0.0
28,0.007942629,255,7144,47.84118175506592,24.036438,24.24087,0.5539945960044861,166.6309762686805,36.0,0.16125798,0.16125798,0.0
26,0.0074358163,281,8176,54.59774136543274,24.012634,27.088734,0.4357994794845581,181.6031443633287,38.6,0.17128307,0.17128307,0.0
24,0.008033987,305,9213,61.348923683166504,23.98161,29.039429,0.6630071699619293,192.62704915276024,41.225,0.15690091,0.15690091,0.0
24,0.0078814365,329,10265,68.12765169143677,23.942322,31.20318,0.6720532476902008,204.40201633485623,43.975,0.15900949,0.15900949,0.0
22,0.007821887,351,11290,74.95292067527771,23.913797,32.439198,0.6222225427627563,206.5157544303538,44.475,0.1599707,0.1599707,0.0
17,0.007889785,368,12302,81.8417706489563,23.913254,43.22703,0.6759418547153473,245.35047754302158,52.125,0.16636269,0.16636269,0.0
20,0.008015097,388,13360,88.771080493927,23.916727,47.17991,0.6376492083072662,264.46063124528945,55.85,0.16183507,0.16183507,0.0
18,0.007934412,406,14424,95.65632629394531,23.89378,44.563923,0.6879473328590393,260.5636059865875,55.2,0.16993256,0.16993256,0.0
18,0.008192963,424,15468,102.53220629692078,23.911068,50.052715,0.5977272391319275,276.8671489491311,57.7,0.19707924,0.19707924,0.0
18,0.008460395,442,16494,109.42781257629395,23.902079,50.56882,0.7243732213973999,283.2313724013699,58.675,0.17335907,0.17335907,0.0
15,0.00847991,457,17481,116.4078016281128,23.887192,56.94322,0.743852972984314,299.96428637659164,62.325,0.24482903,0.24482903,0.0
16,0.008759342,473,18496,123.29740571975708,23.854671,56.9128,0.7479515671730042,305.24173095908446,63.25,0.17169417,0.17169417,0.0
16,0.008412494,489,19499,130.22309851646423,23.85179,56.22218,0.7678044587373734,308.8157357688735,63.525,0.17946401,0.17946401,0.0
13,0.008308774,502,20467,137.15486550331116,23.82497,58.567707,0.7739749848842621,325.27388330684266,67.35,0.20239758,0.20239758,0.0
13,0.008348337,515,21399,144.064049243927,23.818048,59.319527,0.7485820651054382,333.5371368675866,69.55,0.17674561,0.17674561,0.0
16,0.008367451,531,22441,150.9991307258606,23.834,56.836784,0.7931331843137741,335.7165275052531,70.15,0.17031772,0.17031772,0.0
14,0.008799788,545,23441,157.91783952713013,23.792723,51.295784,0.7577019035816193,327.03248256546595,67.825,0.19015479,0.19015479,0.0
15,0.0090747615,560,24460,164.8621735572815,23.780537,51.062447,0.6931523978710175,329.5001702605911,67.1,0.20888388,0.20888388,0.0
16,0.009560877,576,25485,171.81358361244202,23.768072,51.340355,0.8118939995765686,327.03838023670266,66.575,0.18904352,0.18904352,0.0
15,0.009111704,591,26508,178.77497935295105,23.73167,52.033142,0.7054679095745087,329.18736339900624,66.65,0.18196866,0.18196866,0.0
15,0.008828701,606,27550,185.70759677886963,23.717793,51.83557,0.7871129661798477,334.09242495597744,67.65,0.16527918,0.16527918,0.0
13,0.008820537,619,28571,192.6760652065277,23.692644,54.42644,0.8427609801292419,350.28513659254395,71.475,0.19237685,0.19237685,0.0
13,0.008873285,632,29526,199.61720323562622,23.679182,57.00478,0.7252920269966125,361.16824919530154,73.6,0.20067702,0.20067702,0.0
14,0.008999685,646,30511,206.589191198349,23.6723,62.935036,0.7877599447965622,363.9892583347355,74.025,0.19610253,0.19610253,0.0
15,0.008990127,661,31548,213.52675580978394,23.656742,62.84021,0.6893851459026337,351.57012176607,70.625,0.20222227,0.20222227,0.0
15,0.009487702,676,32598,220.52739810943604,23.628927,63.63874,0.7965473979711533,349.8299228140841,70.525,0.20205304,0.20205304,0.0
16,0.009249729,692,33659,227.50664019584656,23.658934,66.83073,0.7886484861373901,344.3347997822546,68.8,0.19598998,0.19598998,0.0
13,0.008663299,705,34690,234.41709995269775,23.647196,71.88401,0.8068319410085678,360.8570827945804,72.275,0.20089033,0.20089033,0.0
16,0.009015054,721,35723,241.35693883895874,23.656513,70.007034,0.7565140873193741,347.1317268909711,69.95,0.21517499,0.21517499,0.0
14,0.009147977,735,36710,248.28313398361206,23.6201,68.36472,0.8277114033699036,344.84318337570664,69.325,0.19359554,0.19359554,0.0
15,0.009123043,750,37710,255.19135069847107,23.593586,70.84121,0.7868426144123077,335.9303455552887,66.8,0.18188086,0.18188086,0.0
