# {"t_start": 1551144929.3705485, "env_id": "Humanoid-v2"} 
r,l,t
101.226844,21,17.097493
81.770745,17,17.14161
156.733753,34,17.220017
134.951128,30,17.291169
102.559248,22,17.34865
99.210747,21,17.399406
136.463464,28,17.467524
163.291505,32,17.547191
86.055935,18,17.590113
96.596512,20,17.634082
216.35801,47,17.749669
171.035116,36,17.848265
118.511802,24,17.910241
81.179728,17,17.952889
127.615698,28,18.026839
98.539374,21,18.074269
81.37847,17,18.116404
188.820958,38,18.210833
90.150811,20,18.255215
76.238145,16,18.290431
93.115438,19,18.333994
112.498372,23,18.38501
100.369316,21,18.431614
144.455776,32,18.510032
82.753981,18,18.552429
71.86728,15,18.591577
86.667657,18,18.637834
165.894736,37,18.733727
81.042293,17,18.775367
81.685648,17,18.811949
95.432458,20,18.859989
145.710201,30,18.932399
109.67527,24,18.991155
89.856096,19,19.03842
74.907584,16,19.077581
134.119634,28,19.154858
166.444707,36,19.252035
89.249509,19,19.296405
94.006281,20,19.346055
110.2482,23,19.402118
89.683284,19,19.446277
83.746527,18,19.493614
159.883169,36,20.445905
76.638504,16,20.483851
99.323127,21,20.536801
79.245332,17,20.577295
142.049691,30,20.651388
109.315376,23,20.706995
76.851155,16,20.746688
81.586564,17,20.787442
106.70799,22,20.844253
123.129789,27,20.909024
76.225348,16,20.948295
79.907277,17,20.986089
106.695516,22,21.037722
121.464566,25,21.1002
135.905158,28,21.169244
118.344209,25,21.232578
76.424672,16,21.271486
81.477219,17,21.309098
129.410366,27,21.373285
84.69791,18,21.416393
139.387385,28,21.490952
81.049392,17,21.536444
95.462253,21,21.598898
133.886216,29,21.673133
168.472429,38,21.768635
81.317398,17,21.80698
109.028329,25,21.866368
112.31353,24,21.921838
84.785649,18,21.959912
133.965234,31,22.032955
80.417446,17,22.070488
86.503734,18,22.111902
135.750954,29,22.185413
125.661594,26,22.251138
79.970566,17,22.292302
97.039685,21,22.345875
118.400338,26,22.413195
90.524161,19,22.458255
75.679259,16,22.500834
126.994534,29,22.575878
75.523184,16,22.614064
76.106296,16,22.65272
110.328679,23,22.708169
85.630412,18,22.75019
174.158823,38,22.841246
151.62623,31,22.921386
76.310566,16,23.238011
100.668714,21,23.286923
128.16415,28,23.353273
148.894458,32,23.435372
88.836716,18,23.478525
121.858286,27,23.547007
