surrgain,entloss,EpThisIter,entropy,EpRewMean,TimeElapsed,TimestepsSoFar,optimgain,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpisodesSoFar
0.12034264,0.0,47,24.113276,102.77258527624477,6.855217933654785,3072,0.12034264,21.85,102.77258527624477,0.29455244541168213,0.0068752724,47
0.12776351,0.0,44,24.155842,111.54801334589558,12.882979154586792,6210,0.12776351,23.825,111.54801334589558,0.25777918100357056,0.006635796,91
0.15231232,0.0,43,24.141033,114.71197275488665,18.480871200561523,9285,0.15231232,24.075,114.71197275488665,0.2920340895652771,0.006548622,134
0.18998313,0.0,43,24.151428,110.18892014145896,23.759097814559937,12387,0.18998313,23.55,110.18892014145896,0.43008947372436523,0.007027899,177
0.21417895,0.0,34,24.104168,132.3285869452218,29.095534801483154,15426,0.21417895,28.075,132.3285869452218,0.4077717661857605,0.0067514926,211
0.32522857,0.0,35,24.149109,140.12366876002685,34.27150774002075,18495,0.32522857,30.0,140.12366876002685,0.45476090908050537,0.0061618746,246
0.20218238,0.0,32,24.130388,154.1067567941834,39.53069186210632,21615,0.20218238,32.475,154.1067567941834,0.4983207583427429,0.007037768,278
0.1827791,0.0,28,24.113764,172.1909384820223,44.7701141834259,24642,0.1827791,36.175,172.1909384820223,0.5685083568096161,0.006753335,306
0.22885047,0.0,26,24.149172,187.0578504414143,50.066784381866455,27729,0.22885047,40.05,187.0578504414143,0.5765697062015533,0.007327198,332
0.21694691,0.0,29,24.124985,163.55000359296886,55.36599564552307,30771,0.21694691,34.875,163.55000359296886,0.6682603061199188,0.007189456,361
0.20696725,0.0,23,24.107925,194.2185261541072,60.59734344482422,33732,0.20696725,41.075,194.2185261541072,0.6419408917427063,0.00737404,384
0.16703984,0.0,25,24.073977,199.54029804880489,65.93578672409058,36825,0.16703984,42.65,199.54029804880489,0.6559900045394897,0.0077688843,409
0.17760383,0.0,22,24.068113,206.2767116167759,71.31830382347107,39783,0.17760383,43.65,206.2767116167759,0.674087405204773,0.00763345,431
0.17650343,0.0,21,24.038164,227.34163998863943,76.67966651916504,42855,0.17650343,47.45,227.34163998863943,0.6596379280090332,0.007650012,452
0.1781136,0.0,23,24.022968,221.2497732897752,82.0636727809906,45858,0.1781136,46.55,221.2497732897752,0.7678908705711365,0.007848995,475
0.17097592,0.0,19,24.022211,229.86328207147935,87.35222244262695,48966,0.17097592,48.5,229.86328207147935,0.8039022535085678,0.008022799,494
0.17586689,0.0,18,24.015945,258.5734696839629,92.74007296562195,51987,0.17586689,54.5,258.5734696839629,0.7577637732028961,0.008030182,512
0.3621676,0.0,20,23.995096,259.7595695231317,98.08029413223267,55083,0.3621676,54.625,259.7595695231317,0.823608785867691,0.00793216,532
0.19461091,0.0,18,23.970951,257.29267556966363,103.49240970611572,58152,0.19461091,53.7,257.29267556966363,0.828602135181427,0.008388792,550
0.18538655,0.0,17,23.97193,275.41051544902075,108.8382477760315,61314,0.18538655,58.075,275.41051544902075,0.8652053326368332,0.008523328,567
0.19765273,0.0,18,23.961203,283.97666719785434,114.16981053352356,64398,0.19765273,60.075,283.97666719785434,0.8001309782266617,0.008656675,585
0.1830582,0.0,15,23.976154,289.21711547433944,119.59619355201721,67359,0.1830582,61.7,289.21711547433944,0.8234973847866058,0.008912577,600
0.19033092,0.0,16,23.986881,295.20990540439624,124.95362329483032,70437,0.19033092,62.825,295.20990540439624,0.7686959058046341,0.008883418,616
0.1959332,0.0,15,23.954407,309.00347237684053,130.3433322906494,73419,0.1959332,65.325,309.00347237684053,0.8212717026472092,0.0094449045,631
0.20003758,0.0,16,23.91081,309.16348987025634,135.76466155052185,76515,0.20003758,64.65,309.16348987025634,0.7993355691432953,0.008271135,647
0.18357551,0.0,18,23.919174,298.28326671824937,141.13949275016785,79695,0.18357551,61.975,298.28326671824937,0.8654880672693253,0.008268816,665
0.20164737,0.0,15,23.926086,305.3193921405482,146.56039690971375,82701,0.20164737,63.225,305.3193921405482,0.8976753726601601,0.009253937,680
0.20081976,0.0,16,23.900858,304.80934011908573,152.10930466651917,85890,0.20081976,63.7,304.80934011908573,0.882756382226944,0.009709606,696
0.20667896,0.0,16,23.868183,311.70594667474154,157.54314994812012,88923,0.20667896,64.975,311.70594667474154,0.8410704135894775,0.009548336,712
0.20057473,0.0,16,23.873518,315.30630523038906,162.9278826713562,92055,0.20057473,65.225,315.30630523038906,0.8859453797340393,0.009614628,728
0.2203882,0.0,15,23.886007,317.2450227199801,168.21507596969604,95211,0.2203882,65.9,317.2450227199801,0.884253591299057,0.008806573,743
0.18450919,0.0,14,23.817133,331.9696079993113,173.56075716018677,98190,0.18450919,68.975,331.9696079993113,0.8728459924459457,0.008428927,757
0.20017116,0.0,15,23.783041,333.03679396131275,179.0099868774414,101313,0.20017116,69.35,333.03679396131275,0.8868277743458748,0.009602194,772
0.25061637,0.0,15,23.804686,337.74425987624676,184.46537613868713,104361,0.25061637,69.75,337.74425987624676,0.8415369987487793,0.009384028,787
0.2642152,0.0,13,23.7867,339.5025739005906,190.17252159118652,107298,0.2642152,70.05,339.5025739005906,0.8528493940830231,0.009950213,800
0.20202006,0.0,14,23.78393,351.9113253583088,195.73632192611694,110475,0.20202006,72.8,351.9113253583088,0.8678571879863739,0.009559366,814
0.1874726,0.0,15,23.821613,359.39490138302915,201.24844479560852,113754,0.1874726,74.3,359.39490138302915,0.8697777688503265,0.009014407,829
0.2289246,0.0,14,23.783512,358.183865778443,206.8323633670807,116847,0.2289246,74.575,358.183865778443,0.7794737815856934,0.009409292,843
0.21290615,0.0,16,23.75472,343.5386247256655,212.30574202537537,120009,0.21290615,70.575,343.5386247256655,0.8340805768966675,0.009950978,859
0.18909174,0.0,14,23.729673,354.180987196879,217.77843832969666,123132,0.18909174,71.925,354.180987196879,0.8769493848085403,0.009315314,873
0.22758982,0.0,15,23.707586,343.52982333527535,223.27789044380188,126072,0.22758982,69.275,343.52982333527535,0.904380589723587,0.012579164,888
