EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
23.575,3039,43,0.3597661852836609,0.122338966,43,6.174320220947266,0.0073785125,24.10057,0.122338966,0.0,110.95243452673591,110.95243452673591
23.25,6057,44,0.19294339418411255,0.13134623,87,11.51737117767334,0.0066861436,24.093744,0.13134623,0.0,109.61201069280942,109.61201069280942
24.175,9144,43,0.3303768038749695,0.15827736,130,16.82369041442871,0.006522202,24.065409,0.15827736,0.0,114.16778715256415,114.16778715256415
27.675,12225,37,0.37039101123809814,0.15037978,167,22.29850149154663,0.0067618433,24.019045,0.15037978,0.0,132.11287772067334,132.11287772067334
29.425,15351,35,0.5339828133583069,0.16176431,202,27.639441967010498,0.0063997647,23.982014,0.16176431,0.0,139.85027972725996,139.85027972725996
30.2,18426,35,0.5170828402042389,0.15092936,237,33.06775760650635,0.0070804753,23.96828,0.15092936,0.0,142.4527824124638,142.4527824124638
31.275,21438,32,0.5522246062755585,0.15262723,269,38.562187910079956,0.0068948297,23.945309,0.15262723,0.0,147.3404799998444,147.3404799998444
34.375,24582,31,0.5587839186191559,0.24528384,300,44.01907992362976,0.007770844,23.934006,0.24528384,0.0,161.79549024958638,161.79549024958638
36.575,27588,26,0.5682989060878754,0.23982674,326,49.522844552993774,0.007002805,23.943113,0.23982674,0.0,174.76909441857046,174.76909441857046
40.225,30702,25,0.6886642873287201,0.17197254,351,54.93132019042969,0.007870514,23.945074,0.17197254,0.0,190.49859916695792,190.49859916695792
44.525,33729,22,0.5776400566101074,0.6781671,373,60.32456398010254,0.007127531,23.944338,0.6781671,0.0,209.06314657696075,209.06314657696075
46.625,36834,23,0.6606590449810028,0.1605472,396,65.78360319137573,0.0074997535,23.921385,0.1605472,0.0,220.8792007221693,220.8792007221693
48.9,39861,19,0.6218996345996857,0.22101308,415,71.32320737838745,0.0076456536,23.924973,0.22101308,0.0,234.53500000014228,234.53500000014228
53.025,43032,19,0.7703328281641006,0.17146075,434,76.77053117752075,0.00772507,23.901789,0.17146075,0.0,256.2875733565669,256.2875733565669
54.45,46122,19,0.7123273611068726,0.17428318,453,82.30606245994568,0.007553649,23.898197,0.17428318,0.0,261.0731829227855,261.0731829227855
55.075,49086,18,0.7436534464359283,0.18763596,471,87.80287265777588,0.007939079,23.877377,0.18763596,0.0,264.4652545185889,264.4652545185889
