# {"env_id": "Humanoid-v2", "t_start": 1551156007.374886} 
r,l,t
99.098046,20,11.59478
173.335197,39,11.648182
84.9245,18,11.67225
106.582974,22,11.702133
101.511981,21,11.742355
81.341755,17,11.771231
88.131702,19,11.799861
75.11409,16,11.824076
81.736073,17,11.85018
116.916808,24,11.891239
157.103303,33,11.93884
112.499252,24,11.973921
86.915644,18,11.997465
86.214982,18,12.022944
117.272445,24,12.055316
111.081392,24,12.088551
124.911594,27,12.127453
97.123514,20,12.155578
90.490017,19,12.182793
131.856428,30,12.223261
90.185205,19,12.24799
85.633276,18,12.270942
99.235531,21,12.297651
116.340218,24,12.329219
99.42499,22,12.358076
87.365447,18,12.380826
96.947587,20,12.416818
173.655147,35,12.483088
81.369709,17,12.510488
79.758419,17,12.534607
126.029394,27,12.575155
76.62742,16,12.598395
150.129013,31,12.64404
109.269785,24,12.679254
122.260512,26,12.718385
76.779571,16,12.73821
131.197704,27,12.773375
85.965422,18,12.79818
97.059215,20,12.832823
156.66185,33,12.881335
112.408831,23,12.911895
91.499121,19,12.94099
102.247395,22,12.972842
86.750797,18,12.998392
91.67832,19,13.024274
91.786727,19,13.058193
134.118913,27,13.6547
76.494829,16,13.676429
137.115797,29,13.716459
93.160297,20,13.742699
81.786205,17,13.763754
86.624537,18,13.788789
175.324819,40,13.86595
89.057091,19,13.898527
77.982564,17,13.921431
87.160829,18,13.94418
80.750765,17,13.967767
81.59032,17,13.990854
87.414343,19,14.016717
161.414829,36,14.067519
76.847977,16,14.089765
84.345323,18,14.113936
140.218125,29,14.157138
148.335622,31,14.201617
80.711782,17,14.223238
86.828994,18,14.251194
91.651753,19,14.278166
91.82426,20,14.306827
85.730498,18,14.331173
184.103986,40,14.394143
124.936681,27,14.436272
76.522821,16,14.460217
83.571557,18,14.48816
166.423335,36,14.541902
113.430495,24,14.579568
90.539002,19,14.605593
124.922741,29,14.64582
99.722657,21,14.673824
122.328148,27,14.711458
80.7598,17,14.734766
75.531802,16,14.757245
92.50512,19,14.784597
92.951494,20,14.81618
139.506317,30,14.859059
86.325452,18,14.882908
81.581362,17,14.905166
125.180188,28,14.941939
81.361494,17,14.964562
135.069987,27,15.002441
118.135917,27,15.040573
201.500585,40,15.094359
104.807804,23,15.328204
114.060503,24,15.363392
102.208022,22,15.392242
160.425128,35,15.439104
86.63407,18,15.463422
91.282514,19,15.488249
142.64568,31,15.531066
141.341831,29,15.575709
84.436609,18,15.601216
111.794203,23,15.631307
87.842481,18,15.654128
91.911832,19,15.679359
84.950397,18,15.702383
135.904851,29,15.741408
76.604665,16,15.761595
80.941752,17,15.781974
109.141695,24,15.819036
119.276701,24,15.84999
109.24485,23,15.880664
85.738041,18,15.9053
91.225951,20,15.931596
101.362253,21,15.961156
85.954932,18,15.988478
83.537629,19,16.018122
103.774453,24,16.053377
97.254857,20,16.079798
157.800802,34,16.12692
86.019628,18,16.150655
89.896219,19,16.175034
85.766381,18,16.197349
81.55883,17,16.220672
110.304458,25,16.252718
248.861949,52,16.320994
84.987799,18,16.344944
80.267401,17,16.368636
134.919642,28,16.408878
87.609286,18,16.433433
96.584316,20,16.462908
97.795492,21,16.492537
76.566853,16,16.515029
91.718113,19,16.550679
86.788599,19,16.581647
97.300653,20,16.608518
121.547382,25,16.642536
130.511387,26,16.677363
80.962311,17,16.698295
81.413736,17,17.426184
81.631316,17,17.451514
78.101006,17,17.475262
157.622924,33,17.521324
91.260982,19,17.547951
86.392706,18,17.572094
122.080449,25,17.608276
91.210874,19,17.634702
97.291289,20,17.664365
86.632948,18,17.68912
99.155648,23,17.721738
88.963936,19,17.747836
119.384843,27,17.788722
85.879919,18,17.81551
113.860131,25,17.849389
136.229217,28,17.885775
80.990431,17,17.907406
117.510194,24,17.939997
102.578505,22,17.967871
178.166056,35,18.014973
122.367575,25,18.048609
95.702554,20,18.076636
104.00513,21,18.105702
163.289843,38,18.161308
76.089229,16,18.182293
76.607726,16,18.204127
81.29757,17,18.227664
82.226664,17,18.251726
117.088884,26,18.290437
152.426781,35,18.342349
168.878581,38,18.39818
146.037322,30,18.441847
102.050434,22,18.474462
86.079847,18,18.500774
99.63871,21,18.530917
116.47318,27,18.571021
108.715622,23,18.603055
81.005857,17,18.62379
86.132048,18,18.645657
122.48268,26,18.68026
80.837734,17,18.701287
116.520497,24,18.733593
114.964519,24,18.767962
74.648531,16,18.789354
81.07044,17,18.815231
120.403943,26,19.032973
76.776307,16,19.056142
91.048398,19,19.085861
149.652488,30,19.130272
108.179524,23,19.164918
101.290796,21,19.194986
75.231174,16,19.217889
116.284915,25,19.255402
217.522063,46,19.323682
158.708284,34,19.374232
131.20314,28,19.41146
80.735079,17,19.433982
158.611485,34,19.479056
85.025212,18,19.503335
85.687266,18,19.528136
89.669623,19,19.554419
163.313544,35,19.604077
103.147549,22,19.634057
189.120081,39,19.688786
81.253111,17,19.710147
114.907667,24,19.740132
88.66169,19,19.765537
90.502955,19,19.789801
83.243779,18,19.813612
85.298816,18,19.837781
121.694595,25,19.870569
143.690063,30,19.910092
122.498961,27,19.94935
180.12297,38,20.008013
91.631431,19,20.035788
90.379143,19,20.062238
79.260402,17,20.08641
85.582913,18,20.11278
120.710861,25,20.150061
156.467694,33,20.196075
171.104107,37,20.245828
123.656463,27,20.28317
122.710195,26,20.317423
85.950192,18,20.340707
113.168522,25,20.374639
104.120257,21,20.402444
126.832348,25,20.436876
85.847212,18,20.661625
76.224044,16,20.684688
88.997694,19,20.715302
176.249765,39,20.788074
147.3693,30,20.83229
133.255976,27,20.869081
