# {"t_start": 1555524842.044042, "env_id": "Humanoid-v2"} 
r,l,t
105.270831,21,23.934541
82.161814,17,24.109768
163.673321,34,24.481805
142.906767,30,24.783162
109.191337,22,25.019086
102.973445,21,25.2237
140.336857,28,25.531944
170.407638,32,25.900168
87.268469,18,26.129493
97.294804,20,26.319139
225.119461,47,26.870723
174.657074,35,27.263722
110.430936,22,27.496342
92.865391,19,27.69863
141.405102,29,28.014368
100.102065,21,28.219454
81.37847,17,28.402392
197.833614,38,28.803755
93.684273,20,29.010644
76.313328,16,29.178902
94.314946,19,29.386838
114.307608,23,29.648423
102.035757,21,29.869213
149.998805,32,30.209717
88.552794,18,30.411543
71.86728,15,30.581412
87.580696,18,30.791447
174.302849,37,31.181167
81.042293,17,31.36375
81.685648,17,31.55157
97.565523,20,31.790697
155.273486,30,32.12424
117.61591,24,32.386931
92.473479,19,32.612209
77.057001,16,32.779019
140.880162,28,33.113033
175.043134,36,33.496145
91.969229,19,33.675917
98.030407,20,33.898284
113.229403,23,34.141178
91.063179,19,34.341673
86.389315,18,34.557732
166.498268,36,36.640294
76.658422,16,36.80056
100.837004,21,37.030983
81.355589,17,37.194195
152.130626,30,37.543175
114.854358,23,37.808528
76.851417,16,37.979561
81.587165,17,38.166995
108.472661,22,38.385088
130.658718,27,38.657642
76.220344,16,38.815437
81.402256,17,39.003169
110.685911,22,39.263748
130.334894,26,39.554001
131.009987,27,39.875915
122.864475,25,40.163144
76.575039,16,40.357156
81.494003,17,40.521145
132.928548,27,40.829035
87.016564,18,41.0275
144.436963,28,41.291261
88.325939,18,41.504585
87.057095,18,41.708432
127.708377,27,42.022233
92.487271,19,42.224105
193.556593,41,42.683741
126.311132,27,43.003136
106.698041,21,43.22707
86.645233,18,43.408169
136.613858,30,43.707472
83.074643,17,43.890102
76.30823,16,44.05761
99.364144,20,44.254083
91.581355,19,44.451254
97.728892,21,44.692635
99.560391,20,44.893672
172.200291,37,45.326589
76.305884,16,45.489863
130.174637,25,45.714525
146.106952,31,46.059502
81.41308,17,46.238666
76.34623,16,46.423827
129.213424,27,46.691574
91.641786,19,46.886142
110.646836,22,47.138022
91.854406,19,47.350924
109.838298,22,47.584475
76.819372,16,48.439314
119.788833,24,48.723285
81.279778,17,48.935616
171.429222,36,49.367929
112.735501,23,49.701115
81.59173,17,49.9385
129.156368,27,50.325431
81.303948,17,50.544576
76.774311,16,50.773269
92.430465,19,51.045552
125.699134,26,51.420307
81.283913,17,51.657599
231.803554,49,52.322901
91.317774,19,52.611517
138.075874,28,53.009025
92.419708,19,53.243052
92.068256,19,53.483835
91.354912,19,53.725236
124.4831,26,54.044177
81.280142,17,54.241113
132.453489,26,54.538013
89.328201,18,54.718427
81.248389,17,54.91641
81.474264,17,55.093191
152.318489,31,55.442546
94.757337,19,55.629876
116.500821,24,55.864983
134.451026,27,56.182384
162.441443,34,56.595688
86.809006,18,56.798767
81.340695,17,56.989575
76.425409,16,57.148346
81.842083,17,57.323321
71.567614,15,57.492061
88.33152,18,57.66816
81.114829,17,57.823448
76.515498,16,57.976129
173.876258,36,58.319871
119.461417,25,58.559918
102.337141,21,58.762753
81.063319,17,58.938774
91.576799,19,59.126516
86.317505,18,59.323073
95.122159,21,59.548959
93.096023,19,59.794018
92.496008,19,60.006404
88.750681,18,60.186012
162.234038,33,61.716791
93.214995,19,61.911966
81.534125,17,62.084124
142.060831,29,62.375566
81.141472,17,62.544457
104.397345,21,62.769228
148.850249,30,63.093155
189.953784,39,63.503036
137.944766,28,63.814724
93.604032,19,64.00533
81.038519,17,64.168903
103.556747,21,64.405031
116.418844,24,64.66381
102.989932,21,64.922455
81.121173,17,65.099141
123.814264,25,65.387164
119.779936,24,65.626982
190.371512,39,66.030661
110.202466,23,66.308572
174.359506,36,66.713486
76.428345,16,66.909197
102.104669,21,67.136872
109.638244,22,67.396217
97.747483,20,67.609516
201.113907,39,68.013904
104.486739,21,68.244915
98.749728,20,68.457471
98.36154,20,68.674153
140.246437,28,68.966266
81.563038,17,69.165377
114.341257,23,69.414849
81.161521,17,69.599695
107.091579,24,69.830811
156.709291,32,70.173637
115.625924,26,70.469573
87.764871,18,70.660885
81.33151,17,70.84962
135.031501,27,71.149587
118.921111,24,71.424642
82.52551,17,71.590204
118.883519,25,71.841753
124.522526,25,72.115174
99.467277,21,72.330784
71.72213,15,72.471354
209.65002,42,73.52611
111.511694,24,73.776075
76.462647,16,73.941234
86.221916,18,74.124309
87.318519,18,74.315288
133.625661,27,74.569117
86.766013,18,74.786839
132.025009,26,75.061553
102.746335,21,75.27339
152.365579,31,75.622018
100.486476,21,75.846826
217.698511,42,76.344554
120.558415,24,76.609334
81.356227,17,76.780917
76.805105,16,76.936458
76.571656,16,77.113505
110.450081,22,77.362221
76.467053,16,77.53221
150.859685,32,77.918097
101.891803,22,78.160692
76.662521,16,78.32881
154.76696,32,78.672723
110.735761,22,78.921069
87.531605,18,79.137527
157.915122,33,79.4957
148.124574,29,79.827025
123.844239,26,80.10355
86.829321,18,80.296857
111.788698,23,80.557828
86.617106,18,80.763017
87.896767,18,80.967789
81.159701,17,81.141109
125.422525,26,81.462713
116.105994,24,81.714098
81.569761,17,81.895437
143.941704,30,82.216689
92.284272,19,82.405384
148.960164,30,82.726964
81.425407,17,82.941347
86.687587,18,83.107534
150.731329,30,83.41512
93.312917,19,83.610227
112.439466,23,83.847634
106.651922,22,84.082317
128.749767,25,84.914532
81.399849,17,85.076678
127.526809,26,85.393662
81.159304,17,85.584131
115.826164,25,85.836429
129.903804,27,86.146077
86.423421,18,86.355522
88.04969,18,86.566779
81.57582,17,86.753495
249.869463,49,87.319572
92.460151,19,87.537032
81.597258,17,87.708789
104.856262,22,87.942365
88.581059,18,88.159961
110.017542,23,88.41378
91.509438,20,88.646868
102.793836,21,88.864705
115.601056,24,89.138547
212.133413,43,89.648104
76.482974,16,89.854451
81.67264,17,90.030786
126.44877,26,90.337094
87.096016,18,90.525312
81.280304,17,90.728864
153.062878,33,91.161537
76.541351,16,91.341524
81.420472,17,91.542404
134.022798,29,91.869387
82.344291,17,92.039707
214.233954,46,92.506282
81.591991,17,92.69688
92.319174,19,92.886199
145.232529,31,93.214047
97.411862,20,93.421027
86.236021,18,93.61934
81.298548,17,93.802016
76.572607,16,93.9778
224.957001,46,94.519666
109.502372,23,94.762564
122.399937,25,95.023674
197.461281,39,95.417395
81.337128,17,95.589933
97.773031,20,95.813482
138.741376,28,96.110885
100.428726,20,97.192499
82.134659,17,97.375899
91.051452,19,97.599186
93.120842,19,97.802987
