# {"env_id": "Humanoid-v2", "t_start": 1555524842.5153017} 
r,l,t
86.839889,18,23.687815
125.022436,26,23.949756
238.714272,50,24.493581
86.969101,18,24.695679
86.371656,18,24.896579
88.247219,18,25.106689
127.399892,26,25.359493
162.770448,32,25.74716
153.204155,32,26.10406
90.856993,19,26.30816
163.678979,32,26.656529
117.03717,25,26.933743
95.953326,19,27.139076
99.249889,20,27.336495
158.542856,31,27.660161
81.468634,17,27.84768
76.750723,16,28.013925
232.828912,49,28.539593
81.483328,17,28.737081
81.633222,17,28.935052
149.753936,33,29.293634
81.876506,17,29.486962
86.419837,18,29.692638
99.512962,20,29.889028
144.059368,29,30.215555
104.105185,21,30.464597
90.909203,19,30.662154
129.694255,26,30.93819
155.446101,31,31.258116
112.833823,22,31.510601
190.762483,40,31.957689
106.54033,21,32.208763
99.083061,20,32.412279
200.53079,40,32.857019
104.654858,21,33.053483
81.526044,17,33.230323
96.75947,20,33.438222
122.198731,24,33.712963
115.352478,23,33.952793
81.33316,17,34.129996
81.301068,17,34.319794
76.326646,16,34.487775
88.029593,18,36.498465
76.519457,16,36.660128
145.74553,30,36.99997
76.492044,16,37.168459
118.804906,24,37.423378
81.766684,17,37.60149
170.29311,35,37.962806
106.517177,21,38.206869
129.331628,26,38.443937
87.279221,18,38.650516
76.70671,16,38.827095
99.279403,20,39.035287
81.559813,17,39.220082
117.879262,24,39.485641
230.034799,48,40.034558
82.731301,17,40.216854
141.220416,30,40.562221
212.142728,42,41.05882
150.684225,31,41.416095
81.121595,17,41.594461
76.321632,16,41.741168
193.130218,43,42.187642
106.352614,22,42.438138
81.32148,17,42.614541
88.29114,18,42.802248
178.514262,36,43.195326
81.686165,17,43.381838
110.927107,22,43.625377
89.880492,19,43.824694
97.820814,20,44.022767
76.393309,16,44.238585
99.969407,20,44.459255
90.10374,19,44.653592
200.658934,42,45.114666
113.617668,23,45.372506
125.05918,25,45.659367
114.008894,24,45.936787
118.335023,25,46.220678
