EpThisIter,EpRewMean,entloss,entropy,optimgain,surrgain,EpTrueRewMean,EpLenMean,EpisodesSoFar,TimestepsSoFar,meankl,ev_tdlam_before,TimeElapsed
42,8.971847,0.0,24.101866,0.12691551,0.12691551,115.67594180139967,23.7,42,3066,0.006959983,0.4318634271621704,38.65049076080322
43,7.761054,0.0,24.11865,0.12645485,0.12645485,113.12234839526147,23.15,85,6159,0.007313434,0.6496411859989166,73.75708985328674
38,7.99026,0.0,24.1046,0.12767775,0.12767775,130.5938387114072,26.525,123,9216,0.006895655,0.5102773308753967,110.51278233528137
36,7.2110367,0.0,24.065495,0.13761789,0.13761789,133.12875079579197,27.025,159,12219,0.0072037163,0.4166491627693176,147.1134262084961
34,8.063553,0.0,24.027332,0.13838114,0.13838114,149.13141282551155,29.675,193,15327,0.007328845,0.3503457307815552,182.75279784202576
25,11.3279705,0.0,24.029432,0.14458132,0.14458132,189.42341866429373,37.575,218,18363,0.006948662,0.5325933992862701,219.51681303977966
29,10.555177,0.0,23.982618,0.1397622,0.1397622,190.94338348919842,38.25,247,21489,0.0072491197,0.4271179437637329,256.3710205554962
23,12.077897,0.0,23.94945,0.15945555,0.15945555,206.50911917908033,41.1,270,24618,0.007247499,0.5479700267314911,291.81143951416016
24,13.988048,0.0,23.919956,0.14395297,0.14395297,219.93202011387257,43.475,294,27702,0.007683511,0.5576483607292175,329.1139256954193
24,13.376076,0.0,23.895992,0.14046025,0.14046025,219.24698359643472,43.2,318,30807,0.007862165,0.5675019025802612,365.9641053676605
19,16.176594,0.0,23.858192,0.14845929,0.14845929,248.06353953642792,48.55,337,33840,0.0073683984,0.6179397404193878,400.3832404613495
20,17.798391,0.0,23.808302,0.15101518,0.15101518,262.6226378357163,51.125,357,36771,0.008167413,0.5768488049507141,434.38021516799927
19,16.953152,0.0,23.782463,0.15370524,0.15370524,261.96813779957586,50.95,376,39789,0.007536924,0.6369867026805878,464.00207781791687
19,15.819974,0.0,23.759926,0.15272772,0.15272772,271.5043443408055,53.075,395,42963,0.007439257,0.4933711290359497,493.80700635910034
17,18.461357,0.0,23.76166,0.15796258,0.15796258,296.9588967700545,57.975,412,46050,0.0076845805,0.6303365230560303,522.3790798187256
17,20.1734,0.0,23.710743,0.15010953,0.15010953,309.3551672372238,59.85,429,49086,0.0076583107,0.7203656136989594,549.5694715976715
18,18.175457,0.0,23.707533,0.16165219,0.16165219,295.15598218395496,57.75,447,52092,0.008300195,0.5835860669612885,578.479813337326
17,16.559599,0.0,23.66936,0.16661072,0.16661072,292.00402878405737,57.65,464,55134,0.0089692045,0.7597580403089523,605.9360253810883
14,19.801098,0.0,23.671932,0.16627344,0.16627344,328.0942571550744,64.875,478,58377,0.008191789,0.7312263250350952,634.172324180603
16,21.077972,0.0,23.674088,0.16717733,0.16717733,338.8287629282598,66.525,494,61338,0.008498982,0.6516402661800385,661.8153626918793
17,19.6151,0.0,23.679293,0.15697345,0.15697345,319.56910747126665,63.025,511,64491,0.008217872,0.7117089331150055,690.4465544223785
