# {"t_start": 1551137944.147472, "env_id": "Walker2d-v2"} 
r,l,t
-1.518071,26,11.694976
2.336288,11,11.719001
1.198566,24,11.766767
-3.450317,17,11.800291
11.595654,27,11.849582
1.639545,14,11.875548
-2.484835,11,11.896047
-1.186157,12,11.920002
-2.661314,10,11.940596
-0.366866,17,11.975672
-1.394692,24,12.024375
-1.686508,8,12.040065
-0.446025,13,12.066221
-1.779354,15,12.091574
0.946728,20,12.132914
-0.037013,18,12.167755
-2.599437,9,12.18371
2.298651,13,12.205914
-13.593421,19,12.239645
-3.510103,9,12.257011
-5.779208,20,12.292622
2.105362,33,12.353403
3.64919,19,12.391587
1.980584,13,12.416516
2.551977,26,12.468047
-8.615551,12,12.490444
7.111548,19,12.528251
3.417633,16,12.557646
5.716137,35,12.620574
1.733965,22,12.659702
-4.125394,20,12.694271
-9.725712,16,12.720901
2.735124,14,12.749045
9.256489,28,12.802049
-1.712526,8,12.816787
-3.755558,27,12.865453
-2.849423,11,12.887273
-2.427356,15,12.91974
-2.038629,17,12.953322
-0.425443,11,12.972795
4.810995,20,13.010977
-5.466476,13,13.035836
-4.045119,28,13.093933
0.055617,20,13.130842
4.821747,31,13.185798
-0.898578,10,13.207286
-2.924206,16,13.237097
6.551388,15,13.26967
7.782113,23,13.320506
3.952909,22,13.36162
-5.911894,8,13.376449
-0.002291,19,13.417337
8.434946,21,13.457268
6.482015,19,13.498851
2.721531,22,13.539192
-2.766046,13,13.564973
-0.907943,10,13.586403
-5.193514,16,14.388142
10.080592,51,14.4838
-4.27643,10,14.504289
-0.253407,18,14.542393
3.978033,22,14.584599
-6.457089,21,14.626757
-0.254974,12,14.648423
3.767851,30,14.703694
-3.02198,8,14.722355
-7.68255,21,14.761982
-0.517393,11,14.782233
-5.589238,7,14.793764
-3.947109,29,14.845415
15.026019,55,14.952661
-2.401696,23,14.993853
0.002373,23,15.038398
-3.651821,16,15.06803
-2.486615,24,15.116138
0.387565,14,15.140667
3.594879,18,15.173521
3.143946,22,15.218456
-0.493932,12,15.245254
-2.750472,18,15.281658
-8.876773,19,15.3155
-0.061534,34,15.382687
3.438897,24,15.427068
-4.184042,11,15.45142
11.794149,24,15.497064
-4.524014,8,15.51128
-3.704357,21,15.556092
-5.061335,8,15.572792
0.237749,11,15.597882
4.988803,32,15.665609
7.345391,30,15.724445
1.693659,26,15.771011
8.127117,19,15.805684
2.946883,14,15.830178
-2.388819,10,15.848872
-3.42727,11,15.870959
-1.901213,9,15.887091
-1.262361,25,15.932271
3.389486,21,15.968681
13.223342,23,16.012744
1.732046,24,16.063391
-3.320893,13,16.091415
-0.391382,20,16.130149
-2.84213,33,16.20066
4.498264,27,16.257344
-9.75914,21,16.294775
-5.151539,13,16.32209
1.043255,14,16.347414
0.949351,29,16.568602
-0.680217,11,16.591973
1.699298,32,16.657044
8.546249,56,16.763593
-0.961338,12,16.786002
-3.816417,15,16.813531
1.49061,25,16.862481
7.063889,38,16.939402
