EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,optimgain,EpLenMean,entloss,TimeElapsed,entropy,EpThisIter,TimestepsSoFar,EpRewMean,surrgain,meankl
51,0.17297001866413364,0.5935514867305756,0.058835186,18.675,0.0,8.433608293533325,8.465685,51,3096,28.870663,0.058835186,0.008399999
82,3.0689637228496953,0.5958735346794128,0.05644557,30.025,0.0,15.185664176940918,8.424262,31,6150,39.64495,0.05644557,0.0068568494
101,10.83497063543719,0.418826699256897,0.06497668,44.575,0.0,21.38289785385132,8.401188,19,9348,55.98844,0.06497668,0.0071321526
114,17.13720667787557,0.6011634469032288,0.060246177,57.975,0.0,27.51754856109619,8.359729,13,12378,72.20139,0.060246177,0.0062158825
123,22.893016598439296,0.8135448545217514,0.06625676,75.95,0.0,33.6493034362793,8.32039,9,15552,94.32222,0.06625676,0.006844475
130,21.9685510842855,0.8636097311973572,0.06235428,89.85,0.0,39.752827644348145,8.276002,7,18603,109.952736,0.06235428,0.0058730245
139,33.833331502808086,0.794631689786911,0.060287103,104.675,0.0,45.83978033065796,8.246882,9,21801,125.52257,0.060287103,0.0064560184
144,41.93674244716048,0.8896577656269073,0.0693727,121.65,0.0,51.92352652549744,8.207291,5,24690,143.38994,0.0693727,0.006225787
148,73.94561420508508,0.9120745435357094,0.06184948,135.45,0.0,58.04130482673645,8.162599,4,27291,159.49069,0.06184948,0.0064118933
153,89.90600518674174,0.8884037807583809,0.057388306,147.525,0.0,64.12514472007751,8.129942,5,29697,172.10205,0.057388306,0.0061195735
157,92.21632636418065,0.909170001745224,0.06374578,157.025,0.0,70.2107982635498,8.07234,4,32340,179.59895,0.06374578,0.006331243
160,110.93764803806953,0.8953496292233467,0.065788254,171.025,0.0,76.28799295425415,8.031998,3,35178,191.08951,0.065788254,0.0066724643
164,134.99338795226666,0.9423790387809277,0.058949605,183.0,0.0,82.3407461643219,8.018859,4,38106,202.3579,0.058949605,0.006285712
170,167.63050474304995,0.9376867674291134,0.06391238,191.75,0.0,88.37007021903992,8.042787,6,41613,208.47258,0.06391238,0.006763603
175,194.26998135761536,0.8823481798171997,0.062538326,206.65,0.0,94.40737748146057,8.031689,5,44868,221.42166,0.062538326,0.006317002
178,206.50992458146328,0.9234779551625252,0.06257374,216.7,0.0,100.42934441566467,8.014649,3,47343,229.75845,0.06257374,0.006396032
182,224.28041577873304,0.9103914350271225,0.060017794,224.15,0.0,106.44386434555054,8.076479,4,50637,233.3123,0.060017794,0.005635885
183,242.90620855623928,0.8435052186250687,0.07636183,240.35,0.0,112.50499963760376,8.082457,1,53070,247.01651,0.07636183,0.0066853827
187,236.5629428501542,0.8777195885777473,0.065800056,245.125,0.0,118.56745862960815,8.060062,4,56076,245.51895,0.065800056,0.0055350466
190,254.2391705508472,0.9419398941099644,0.10105643,260.875,0.0,124.61192083358765,8.027404,3,59841,256.25098,0.10105643,0.005408882
193,265.9452031406821,0.9288912266492844,0.071321,275.2,0.0,130.64861702919006,7.9769278,3,62721,265.1418,0.071321,0.005990506
194,278.68636563708293,0.8811888173222542,0.07163812,278.125,0.0,136.699524641037,7.97688,1,64056,268.11035,0.07163812,0.006397868
197,299.65890448337416,0.9456164464354515,0.0664224,286.325,0.0,142.80201292037964,7.9824095,3,66699,275.69803,0.0664224,0.0061747762
199,316.18094540755453,0.9606804437935352,0.080691256,295.15,0.0,148.86361742019653,7.99263,2,69420,282.03378,0.080691256,0.005749344
200,330.39242900837115,0.6486830711364746,0.0691292,310.35,0.0,154.91370177268982,7.9420176,1,72420,290.9792,0.0691292,0.0059701363
201,337.6290941966964,0.9308053702116013,0.058311354,324.725,0.0,160.96052527427673,7.921921,1,74529,299.65472,0.058311354,0.0075678513
204,351.8107382346526,0.9703843723982573,0.08360073,330.45,0.0,166.97240209579468,7.868454,3,77760,301.77878,0.08360073,0.0059181275
208,367.13306820257895,0.8152323961257935,0.057351492,350.75,0.0,172.98959922790527,7.8339972,4,82269,312.20685,0.057351492,0.0063823108
211,377.7969921802134,0.9402825236320496,0.07830828,362.2,0.0,179.02843260765076,7.809876,3,85671,317.50262,0.07830828,0.0056525297
212,398.51947485271774,-0.009856343269348145,0.04847444,379.75,0.0,185.08446311950684,7.8408237,1,88671,328.2689,0.04847444,0.008720546
213,408.95642958861265,0.8268456161022186,0.06485632,395.775,0.0,191.1686930656433,7.8451076,1,91167,336.96832,0.06485632,0.0061090793
215,424.02528294411525,0.9121926724910736,0.079595976,409.5,0.0,197.22155690193176,7.8548594,2,94008,345.69733,0.079595976,0.0069953064
217,447.5117176791188,0.5707751512527466,0.06261598,434.25,0.0,203.23398208618164,7.8258677,2,98457,360.23627,0.06261598,0.0062615722
220,454.89167921735026,0.9071029275655746,0.070781246,437.875,0.0,209.28670382499695,7.830264,3,101598,360.5546,0.070781246,0.0067003323
223,468.7326824156864,0.7007122337818146,0.059417583,442.375,0.0,215.3206443786621,7.8360114,3,106155,360.2439,0.059417583,0.0063442197
226,485.733710034859,0.8220936805009842,0.07645364,448.45,0.0,221.31569528579712,7.831238,3,109440,367.7443,0.07645364,0.0061047794
227,499.6855300423198,0.8888889700174332,0.114009984,453.675,0.0,227.34214210510254,7.8283086,1,110517,375.11273,0.114009984,0.0060538207
230,518.040410195086,0.9637704454362392,0.088676244,458.075,0.0,233.39065027236938,7.827625,3,114810,380.07504,0.088676244,0.0056367256
231,525.6980884240343,0.9267680644989014,0.11356693,461.65,0.0,239.36237382888794,7.819351,1,116007,383.17914,0.11356693,0.0058226716
233,542.2121824912729,0.963070709258318,0.1052784,463.3,0.0,245.3682029247284,7.812487,2,118317,387.0855,0.1052784,0.006457061
235,545.2001717979649,0.9461256004869938,0.08194382,467.475,0.0,251.35558342933655,7.790087,2,121239,387.19476,0.08194382,0.005808019
238,545.6700673528827,0.9761455170810223,0.08245775,465.25,0.0,257.3361897468567,7.8137336,3,124833,383.3554,0.08245775,0.005890565
241,554.4641969875397,0.8593852818012238,0.08553017,460.4,0.0,263.30875301361084,7.793334,3,129777,381.3254,0.08553017,0.006702115
243,568.5302585463512,0.8002099692821503,0.12857056,463.3,0.0,269.2815148830414,7.792676,2,132555,385.32236,0.12857056,0.0059902957
245,569.3738925699008,0.9388017579913139,0.08112731,461.2,0.0,275.25739455223083,7.7808223,2,136104,382.14554,0.08112731,0.0053610047
247,599.9614486648646,0.867413803935051,0.09642327,472.9,0.0,281.27449560165405,7.7674074,2,138708,396.03903,0.09642327,0.005999582
248,625.5799123177743,0.05525696277618408,0.044815287,495.325,0.0,287.3288288116455,7.7832646,1,141708,410.70428,0.044815287,0.0073847
250,646.1940033730077,0.8903697580099106,0.09667438,504.625,0.0,293.3918194770813,7.752793,2,144681,421.47174,0.09667438,0.006705162
251,652.3750236638823,0.9025397226214409,0.072970495,509.0,0.0,299.4280204772949,7.743168,1,146751,423.23422,0.072970495,0.0070200893
