optimgain,EpTrueRewMean,entloss,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,meankl,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpRewMean
0.061847836,-1.6124363307826173,0.0,8.509468,0.061847836,51,3135,0.007524479,20.225,0.4722081422805786,51,5.516309022903442,25.576513
0.06155233,0.4251574428406535,0.0,8.497147,0.06155233,83,6216,0.0074471044,28.875,0.5625087320804596,32,9.878228425979614,32.855217
0.065692194,1.9914236788751924,0.0,8.464797,0.065692194,101,9225,0.0067251585,42.825,0.5913472175598145,18,14.091758966445923,47.157757
0.06644199,-0.3621308315311105,0.0,8.384274,0.06644199,115,12441,0.006588853,58.925,0.6695727705955505,14,18.20667004585266,65.085556
0.06450451,-2.2923715168904293,0.0,8.307925,0.06450451,126,15456,0.0065309787,72.3,0.7369304597377777,11,22.222061157226562,79.722786
0.062484737,9.426887254256162,0.0,8.251268,0.062484737,133,18468,0.0057220217,87.6,0.735573947429657,7,26.293177843093872,97.61061
0.057860397,6.244474630080887,0.0,8.214236,0.057860397,141,21303,0.006653296,100.65,0.9095793962478638,8,30.39576482772827,111.04214
0.05854314,18.04416809222637,0.0,8.187271,0.05854314,146,24354,0.0065786596,119.45,0.8672190010547638,5,34.480140924453735,130.6999
0.060219176,28.621087210317476,0.0,8.174816,0.060219176,153,27225,0.0066473978,130.225,0.9088795855641365,7,38.59667110443115,140.94498
0.06301616,36.313883711962056,0.0,8.177733,0.06301616,158,29952,0.007816652,137.525,0.9078457728028297,5,42.61128520965576,145.9625
0.05737544,52.904191974352514,0.0,8.071668,0.05737544,164,33750,0.0066597136,157.95,0.8910390734672546,6,46.75228238105774,165.97397
0.062276512,66.83602047270837,0.0,8.057125,0.062276512,170,36780,0.007069204,162.4,0.9352676868438721,6,50.77714133262634,169.4711
0.06456867,95.41677904764865,0.0,8.07515,0.06456867,174,40206,0.0068480205,178.9,0.8470172733068466,4,54.849040508270264,185.5435
0.063089475,119.66977097694166,0.0,8.032119,0.063089475,180,43296,0.006391784,185.975,0.9054982364177704,6,58.83703923225403,191.4079
0.064511195,123.99073794502343,0.0,8.106153,0.064511195,185,46065,0.0059696333,185.575,0.922960989177227,5,62.897334575653076,186.9703
