entropy,meankl,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,EpLenMean,EpTrueRewMean,EpisodesSoFar,entloss,surrgain,TimeElapsed
8.489434,0.0070253746,0.058007933,48,17.589386,3051,0.3575930595397949,20.975,0.4881965057879656,48,0.0,0.058007933,5.985574722290039
8.448716,0.007331026,0.06331963,28,31.1339,5997,0.4337436556816101,30.725,3.9040461091067002,76,0.0,0.06331963,10.80545687675476
8.417527,0.0065324386,0.06032274,16,48.52778,8985,0.5305327773094177,45.95,7.2890761504568955,92,0.0,0.06032274,15.683362007141113
8.373579,0.006368243,0.058536984,11,67.2636,12234,0.6493452489376068,64.525,13.232013329235865,103,0.0,0.058536984,20.58524465560913
8.333253,0.0062393676,0.0644281,11,81.95951,15387,0.7662417590618134,80.625,21.073685844184613,114,0.0,0.0644281,25.2428035736084
8.263658,0.006529184,0.0661311,6,99.08066,18468,0.8613052815198898,99.45,26.417357345576683,120,0.0,0.0661311,29.706389904022217
8.297063,0.0066497205,0.06712711,5,119.28551,21978,0.666348934173584,120.35,55.13504356747402,125,0.0,0.06712711,34.185115337371826
8.24727,0.0061420137,0.06501907,6,134.95398,25404,0.8761960342526436,138.0,79.5376782791648,131,0.0,0.06501907,38.49055886268616
8.238113,0.0064323125,0.069470964,5,145.81296,28284,0.8636631965637207,151.825,94.20275696880319,136,0.0,0.069470964,42.82915711402893
8.262518,0.005650745,0.061939523,4,161.16264,31818,0.8488020151853561,171.275,116.79627850925742,140,0.0,0.061939523,47.266003370285034
8.226374,0.0061318297,0.06653988,3,180.79314,35208,0.864079475402832,191.45,151.1702797171334,143,0.0,0.06653988,51.77933883666992
8.225297,0.006516612,0.06562182,1,182.24161,36141,0.9259729832410812,195.65,146.88331779810582,144,0.0,0.06562182,56.22118592262268
8.202823,0.0063017015,0.059835155,5,197.00093,39663,0.8542340993881226,213.5,182.08889732454122,149,0.0,0.059835155,60.66464686393738
8.138857,0.005597427,0.06101601,2,206.89621,41604,0.9024577662348747,226.225,199.9239781086021,151,0.0,0.06101601,65.09707546234131
8.126297,0.0064318376,0.05902207,5,214.5441,45462,0.9272740185260773,236.625,233.36254712568316,156,0.0,0.05902207,69.54024863243103
8.043946,0.007138868,0.06901485,3,229.39111,49083,0.9485501870512962,257.925,268.2199031769318,159,0.0,0.06901485,73.95556426048279
8.020034,0.0067922743,0.06452338,5,227.32683,52302,0.9183978363871574,258.825,280.5439114820657,164,0.0,0.06452338,78.47343826293945
8.094007,0.006205056,0.07707322,3,233.1657,55416,0.9621684774756432,271.1,295.56470014370495,167,0.0,0.07707322,82.93202924728394
8.1285515,0.0071060183,0.05752469,4,235.788,58728,0.9579628221690655,277.7,311.7166423927344,171,0.0,0.05752469,87.46670818328857
8.100896,0.0067528985,0.05245588,4,247.57954,64548,0.805430993437767,306.4,339.50620189394874,175,0.0,0.05245588,91.93843531608582
8.06456,0.006273969,0.060720414,4,245.36568,68403,0.9307920038700104,310.95,349.51556346659777,179,0.0,0.060720414,96.49237561225891
8.083878,0.0066715544,0.06904203,3,239.45573,70869,0.9386013448238373,308.4,352.4727548708151,182,0.0,0.06904203,100.939204454422
8.1261,0.006844617,0.053175963,2,239.61691,74616,0.6520994603633881,320.625,357.56980168966345,184,0.0,0.053175963,105.46727013587952
8.168168,0.006854452,0.050265662,3,250.74686,79422,0.7479685544967651,344.4,374.5959455286005,187,0.0,0.050265662,110.03701543807983
8.1355715,0.005759173,0.06365453,1,259.04916,82422,0.7802973985671997,361.15,392.58612254617935,188,0.0,0.06365453,114.63532567024231
8.124344,0.007672175,0.042803377,1,268.7768,85422,-0.013238191604614258,381.325,412.2386559410312,189,0.0,0.042803377,119.1510374546051
8.099072,0.006397262,0.07698773,2,274.53793,88863,0.9681801870465279,393.825,425.72865869950346,191,0.0,0.07698773,123.6806812286377
8.08363,0.006138905,0.0736122,1,269.47955,89430,0.9209692403674126,388.075,421.31135871975846,192,0.0,0.0736122,128.12871503829956
8.052125,0.006899311,0.081810884,2,271.67773,91230,0.931922435760498,391.85,427.16188734874777,194,0.0,0.081810884,132.62434768676758
8.018052,0.0061779036,0.059699334,4,258.45834,94521,0.9207778945565224,383.375,404.08378509117557,198,0.0,0.059699334,137.10647058486938
7.973508,0.006204929,0.073281474,5,259.5163,97974,0.9223991557955742,385.2,417.81921236229084,203,0.0,0.073281474,141.59812998771667
7.954647,0.007505971,0.071395285,4,256.4519,101244,0.9720332641154528,381.9,422.70770391790586,207,0.0,0.071395285,146.0731074810028
7.9323606,0.006409788,0.07770122,3,251.58606,103272,0.9708944540470839,375.575,421.3933649295976,210,0.0,0.07770122,150.54444456100464
7.9017487,0.006834959,0.07883872,3,250.80136,106974,0.96605084836483,371.475,427.5055694638454,213,0.0,0.07883872,155.04047346115112
7.888302,0.006517728,0.07335325,4,244.21347,110310,0.9315653070807457,357.325,431.49800090352755,217,0.0,0.07335325,159.45141673088074
7.86809,0.006211671,0.093677424,3,252.00339,113922,0.9207200184464455,368.325,455.6378199247254,220,0.0,0.093677424,164.0537519454956
7.88361,0.006309226,0.10435292,3,245.93262,115998,0.9494594745337963,351.075,456.62126404299397,223,0.0,0.10435292,168.52754306793213
7.8736696,0.0065310327,0.09131116,4,238.05386,119724,0.9375929124653339,335.85,461.08117758656283,227,0.0,0.09131116,173.08740830421448
7.894943,0.0062697623,0.08493158,4,210.4145,122898,0.9451250024139881,283.625,429.5864824535023,231,0.0,0.08493158,177.58886003494263
7.8890343,0.006906901,0.0825365,2,216.56946,125688,0.8624759316444397,294.3,447.10376671213487,233,0.0,0.0825365,182.1512417793274
