EpLenMean,EpTrueRewMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,optimgain,entloss,TimestepsSoFar,entropy,meankl,EpThisIter,EpRewMean,surrgain
21.3,1.9844651195615945,47,5.96826696395874,0.5133037865161896,0.068838745,0.0,3096,8.468916,0.008301435,47,29.99937,0.068838745
34.325,4.944126955267689,74,10.860033750534058,0.48495835065841675,0.06415741,0.0,6354,8.449352,0.0069554104,27,40.78002,0.06415741
48.0,7.728955163994451,90,15.786057233810425,0.5701800286769867,0.0595648,0.0,9447,8.344494,0.006946194,16,53.328484,0.0595648
61.625,4.961245570462353,102,20.678369760513306,0.6999835669994354,0.062372223,0.0,12516,8.258164,0.0068360213,12,67.048904,0.062372223
83.35,9.828453099727483,110,25.268569469451904,0.7665690928697586,0.06052339,0.0,16002,8.26019,0.005947411,8,88.54636,0.06052339
95.45,3.5478437679610395,119,29.708535194396973,0.8723157346248627,0.063662365,0.0,18861,8.196722,0.005927583,9,98.96831,0.063662365
113.225,8.01739345746534,126,34.15974235534668,0.9152825847268105,0.06446374,0.0,22239,8.180431,0.0064725745,7,114.52268,0.06446374
122.45,16.82300020528428,133,38.49957275390625,0.8546107858419418,0.0653398,0.0,25059,8.113341,0.0062250984,7,121.74416,0.0653398
132.875,24.22630882287477,140,42.867722511291504,0.9241633415222168,0.061470684,0.0,28089,8.10193,0.005717573,7,128.72928,0.061470684
143.9,42.652007789928554,146,47.30525851249695,0.9286677837371826,0.062798336,0.0,31389,8.110051,0.006447554,6,137.41531,0.062798336
152.075,55.7847495069228,151,51.74969840049744,0.8624716103076935,0.06400271,0.0,34614,8.1609335,0.006040616,5,142.59756,0.06400271
168.15,76.00556466942507,155,56.23875308036804,0.8656133860349655,0.057777777,0.0,37923,8.153257,0.0064411657,4,155.27562,0.057777777
178.85,94.56552820486208,158,60.72985625267029,0.8524122536182404,0.05757419,0.0,40056,8.109989,0.0058497614,3,165.01263,0.05757419
187.475,112.71308675388806,160,65.22555685043335,0.7405949831008911,0.06836325,0.0,42060,8.095227,0.0059997793,2,172.53593,0.06836325
195.175,151.43768899437663,165,69.73748779296875,0.9239046797156334,0.07313499,0.0,45303,8.066776,0.0063626436,5,180.4271,0.07313499
210.975,170.00118163746743,167,74.23300552368164,0.9184324964880943,0.0684609,0.0,47805,8.0565195,0.0056848503,2,192.50879,0.0684609
221.6,181.2485161712477,169,78.74336695671082,0.8596813380718231,0.062052168,0.0,50280,7.994259,0.006354141,2,197.82144,0.062052168
236.325,200.74263737800152,171,83.1118676662445,0.846432164311409,0.06701413,0.0,52905,7.979678,0.006427597,2,207.66275,0.06701413
276.35,248.73418164438073,174,87.55115175247192,0.8159720301628113,0.05847289,0.0,58719,8.019474,0.006507283,3,237.60933,0.05847289
282.875,258.4907440850744,175,92.02009224891663,0.9366938397288322,0.07553129,0.0,59925,8.043015,0.0053260564,1,242.2709,0.07553129
305.575,284.9768577149299,177,96.49583077430725,0.909954160451889,0.064574696,0.0,63747,8.010242,0.005520039,2,255.8234,0.064574696
320.575,316.09776280568724,181,100.97933983802795,0.9686160497367382,0.07150361,0.0,66942,7.986027,0.00615192,4,268.81256,0.07150361
344.65,356.9333940551104,184,105.4622368812561,0.8785152807831764,0.074009836,0.0,71355,8.002622,0.0063508237,3,287.09155,0.074009836
361.2,374.319191000175,186,110.04254412651062,0.23102939128875732,0.061508127,0.0,74733,8.010571,0.005871012,2,293.83344,0.061508127
371.1,395.58794968914464,188,114.57293939590454,0.9692016337066889,0.07054187,0.0,77583,7.9751577,0.0062673856,2,300.8145,0.07054187
383.1,416.1791315257457,189,119.1004889011383,0.9439072012901306,0.10086243,0.0,79755,7.987563,0.0060133957,1,308.4554,0.10086243
401.8,425.6288544486635,190,123.60359907150269,0.4649447202682495,0.07211597,0.0,82395,7.9516563,0.0076146405,1,317.0847,0.07211597
423.05,455.27337550146524,193,128.07563471794128,0.6455287039279938,0.07073011,0.0,87090,7.9341307,0.006346691,3,328.6407,0.07073011
443.6,478.18612844013177,195,132.58800315856934,0.5672067701816559,0.049441926,0.0,91155,7.9263945,0.0056597926,2,338.83148,0.049441926
460.5,486.02727886275704,196,137.06318998336792,-0.07680606842041016,0.061448425,0.0,94155,7.906009,0.007091488,1,344.441,0.061448425
486.4,515.2683586465758,198,141.56849312782288,0.9097875505685806,0.0734053,0.0,98424,7.858936,0.006126054,2,357.69067,0.0734053
491.9,531.7955608150589,201,146.07548332214355,0.9222199022769928,0.084608495,0.0,102180,7.8284874,0.0066691195,3,362.49887,0.084608495
498.575,541.1592557861901,205,150.55785512924194,0.9783310182392597,0.06894885,0.0,105132,7.794799,0.0068262373,4,368.25275,0.06894885
