EpLenMean,TimestepsSoFar,EpTrueRewMean,TimeElapsed,meankl,optimgain,EpThisIter,entropy,EpisodesSoFar,EpRewMean,entloss,ev_tdlam_before,surrgain
20.825,3033,-0.5098438403368705,5.9846978187561035,0.007502589,0.061501395,48,8.486828,48,23.930569,0.0,0.34083986282348633,0.061501395
30.8,6138,1.273726577834142,10.805148839950562,0.0077495896,0.06379056,29,8.4629345,77,29.926037,0.0,0.57780721783638,0.06379056
45.275,9306,7.175086271725336,15.68844747543335,0.0067255083,0.06067986,20,8.407589,97,43.281086,0.0,0.6008575558662415,0.06067986
58.35,12486,4.757111375132246,20.563074111938477,0.006696295,0.060634263,14,8.38185,111,54.61958,0.0,0.7174392938613892,0.060634263
70.275,15690,-2.692313167595036,25.166589498519897,0.006473938,0.0662193,11,8.363174,122,65.62074,0.0,0.8180730789899826,0.0662193
87.25,18774,-0.1331971047960998,29.572206735610962,0.00596851,0.06051095,9,8.315932,131,80.889305,0.0,0.8492658734321594,0.06051095
101.325,22056,0.0607516953063957,34.07647705078125,0.0065377336,0.060223848,8,8.330855,139,91.1306,0.0,0.9214448854327202,0.060223848
115.3,24909,15.396949430179472,38.36704444885254,0.007002226,0.06269758,6,8.270143,145,104.882126,0.0,0.908289760351181,0.06269758
131.95,27627,35.571261783949126,42.66471195220947,0.0069631366,0.058514684,3,8.225712,148,120.70471,0.0,0.8273885697126389,0.058514684
148.2,30777,53.48960503657522,47.04609966278076,0.0064065065,0.059141867,5,8.1758375,153,132.4814,0.0,0.8889233767986298,0.059141867
161.175,33939,81.3954837181819,51.445664167404175,0.006905261,0.05605138,5,8.122434,158,144.97292,0.0,0.9320845752954483,0.05605138
170.85,36804,108.50296687961759,55.91652154922485,0.007994593,0.076859966,6,8.109438,164,153.38097,0.0,0.8091123551130295,0.076859966
187.975,41076,143.3808912308833,60.395493030548096,0.006964928,0.059759088,6,8.081603,170,165.48965,0.0,0.9266638681292534,0.059759088
201.425,44019,169.79211898120894,64.84668326377869,0.006692745,0.06133674,4,8.051589,174,175.99118,0.0,0.8813873305916786,0.06133674
226.7,48369,208.64498604807804,69.31208395957947,0.005861287,0.055026233,3,8.047855,177,197.86324,0.0,0.800990030169487,0.055026233
231.2,51504,219.78572112676574,73.74126887321472,0.006246279,0.068546444,5,7.988949,182,197.18489,0.0,0.9071481451392174,0.068546444
253.15,54504,240.2781569242414,78.12798929214478,0.0072758757,0.0500026,1,7.962964,183,213.33809,0.0,-0.10396528244018555,0.0500026
255.875,58332,260.0441934957006,82.54427647590637,0.0064236894,0.074815944,5,7.908512,188,211.51883,0.0,0.8247165828943253,0.074815944
259.975,59526,268.3560787482273,87.01953387260437,0.006961385,0.063960075,1,7.905396,189,214.45413,0.0,0.9511743821203709,0.063960075
280.05,63246,282.65052858718144,91.46415829658508,0.00654302,0.061385967,2,7.8725467,191,222.45908,0.0,0.6782901585102081,0.061385967
293.875,66042,301.2484305422897,95.93991422653198,0.0074597835,0.070050016,2,7.9056253,193,229.58296,0.0,0.8328175395727158,0.070050016
315.975,70299,316.07379137787746,100.29197859764099,0.006569661,0.05016624,3,7.859241,196,238.60274,0.0,0.7305725514888763,0.05016624
316.325,72249,331.1991859532659,104.8083906173706,0.0067880247,0.07267983,3,7.873287,199,241.275,0.0,0.96693329885602,0.07267983
337.2,75249,346.3431246492494,109.27764987945557,0.0069726077,0.049771212,1,7.906005,200,249.99496,0.0,-0.23913180828094482,0.049771212
359.425,78249,363.2165553683292,113.81782531738281,0.006796606,0.06529691,1,7.956847,201,260.08685,0.0,0.7560178488492966,0.06529691
381.45,81777,381.9139276786706,118.3832790851593,0.005647782,0.058191866,2,7.92273,203,268.85028,0.0,0.45446687936782837,0.058191866
396.05,85839,386.87945584810615,122.85510110855103,0.0065887882,0.055537377,2,7.8973994,205,271.2713,0.0,0.6166237890720367,0.055537377
410.625,88452,398.6965052333564,127.29883432388306,0.006383434,0.05863698,2,7.8754125,207,279.98004,0.0,0.9087327569723129,0.05863698
418.375,89820,406.95751800980395,131.72348523139954,0.006111847,0.06880813,1,7.9010015,208,285.43835,0.0,0.8856191188097,0.06880813
422.325,93252,422.56215384012586,136.17964792251587,0.0066768127,0.08528295,3,7.8783712,211,291.98492,0.0,0.9264017045497894,0.08528295
435.35,96261,441.56103157122277,140.5951521396637,0.007040279,0.069459304,3,7.8546295,214,304.46085,0.0,0.9598345831036568,0.069459304
434.05,100455,437.8013532296245,145.00368452072144,0.0064994097,0.063985184,3,7.8217015,217,295.2392,0.0,0.9319541454315186,0.063985184
449.775,103689,464.6926555734982,149.50587368011475,0.007851172,0.082203016,3,7.8159785,220,307.33978,0.0,0.9439631886780262,0.082203016
461.0,106824,480.405401625622,153.9519875049591,0.0066287676,0.07845037,2,7.812011,222,313.01178,0.0,0.9493596404790878,0.07845037
441.325,109596,463.4891310402395,158.35018110275269,0.008258341,0.06736648,3,7.82521,225,295.9829,0.0,0.9127938598394394,0.06736648
422.7,113250,448.8339519336023,162.81586384773254,0.007736336,0.0791167,5,7.833814,230,285.3487,0.0,0.8141480833292007,0.0791167
424.625,116997,460.5341202513462,167.28338861465454,0.007006837,0.075076744,3,7.810062,233,288.61346,0.0,0.8166102170944214,0.075076744
402.125,120006,446.0091567019366,171.78212356567383,0.0065927953,0.06947186,5,7.795536,238,278.07343,0.0,0.8735329657793045,0.06947186
347.95,123003,403.27187072665106,176.29397821426392,0.0076845996,0.07389533,4,7.7507453,242,251.89624,0.0,0.933035209774971,0.07389533
320.1,125889,384.8745028179616,180.8086760044098,0.0070413817,0.07644476,4,7.7523155,246,236.19234,0.0,0.8843103647232056,0.07644476
296.2,128796,363.2009283981095,185.24318075180054,0.0073017855,0.08264722,5,7.7359157,251,214.86426,0.0,0.9152273684740067,0.08264722
276.075,131787,349.20677884598695,189.80381536483765,0.0075336364,0.07994661,4,7.7426295,255,198.57959,0.0,0.9395174495875835,0.07994661
261.575,134427,326.6871228472695,194.2044916152954,0.006927998,0.07407088,4,7.7243533,259,185.46988,0.0,0.9232657328248024,0.07407088
249.4,137295,319.5902076834576,198.63443064689636,0.006890728,0.07417104,4,7.7322354,263,178.37808,0.0,0.9317364394664764,0.07417104
255.05,140202,333.3876947758378,203.074951171875,0.0067180223,0.08414583,2,7.7247157,265,182.60104,0.0,0.9146397635340691,0.08414583
257.775,142785,343.99489687970015,207.55467176437378,0.006755255,0.0769021,3,7.7149167,268,184.01929,0.0,0.9188974648714066,0.0769021
