EpLenMean,meankl,EpThisIter,optimgain,EpTrueRewMean,entropy,TimeElapsed,TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,surrgain,entloss,EpRewMean
21.25,0.007344771,47,0.062043376,2.392821603836786,8.488093,7.197004079818726,3051,0.3473742604255676,47,0.062043376,0.0,15.77482
30.75,0.0075758854,28,0.06336879,3.696892653093778,8.470824,12.849478960037231,6003,0.3299209475517273,75,0.06336879,0.0,27.66656
47.075,0.0066099935,13,0.06366983,7.458645737301678,8.4386635,18.0293025970459,8886,0.48847347497940063,88,0.06366983,0.0,44.1424
64.475,0.0066135474,12,0.053329043,6.884213168571925,8.402889,23.18052077293396,12057,0.7703086137771606,100,0.053329043,0.0,59.394238
83.0,0.0058293864,8,0.060650766,21.091786235215096,8.392757,28.33218288421631,15045,0.6125488877296448,108,0.060650766,0.0,75.458336
97.5,0.0058869524,9,0.06092455,24.844522291409767,8.35235,33.15854501724243,18129,0.858756959438324,117,0.06092455,0.0,85.27489
108.875,0.0061211884,6,0.06483049,36.91187188465718,8.301089,37.92103576660156,21039,0.8704177588224411,123,0.06483049,0.0,92.985825
132.95,0.0066866316,6,0.06869148,58.46144374597462,8.26787,42.65047001838684,25143,0.8546442091464996,129,0.06869148,0.0,110.94033
139.15,0.0065995296,5,0.074487284,73.49746578303464,8.273973,47.39480185508728,27528,0.8519044369459152,134,0.074487284,0.0,114.52644
155.325,0.006606042,5,0.063896574,94.2225049242855,8.260365,52.025466442108154,30381,0.8891410678625107,139,0.063896574,0.0,126.46348
169.375,0.006127997,6,0.058655884,129.87789064674467,8.231859,56.428579330444336,33798,0.913154810667038,145,0.058655884,0.0,138.90176
180.425,0.0066301003,6,0.06270759,153.01445530216577,8.22087,60.88683366775513,37785,0.9154466316103935,151,0.06270759,0.0,145.06662
189.8,0.006124057,4,0.06482529,169.3973280403085,8.218372,65.21604609489441,40323,0.9097363501787186,155,0.06482529,0.0,150.59882
203.6,0.0062471335,4,0.0634878,191.854582399924,8.183398,69.5816740989685,43644,0.9362559914588928,159,0.0634878,0.0,158.844
209.65,0.006580063,6,0.056609914,207.65476708040947,8.108997,73.98415231704712,48153,0.9498254843056202,165,0.056609914,0.0,158.27713
212.775,0.0067880745,5,0.06306694,228.13931000355788,8.130417,78.43043875694275,51144,0.9303794130682945,170,0.06306694,0.0,160.26114
218.625,0.006026076,6,0.058068857,256.83989784771535,8.101392,82.78561687469482,54549,0.9567908272147179,176,0.058068857,0.0,165.7574
223.575,0.00628456,5,0.056683853,264.56944877747975,8.110825,87.23293781280518,58287,0.9412298947572708,181,0.056683853,0.0,164.64609
225.75,0.006597489,4,0.064038426,274.2995086834504,8.07069,91.80463862419128,60888,0.9616657420992851,185,0.064038426,0.0,163.69089
223.05,0.0068859234,5,0.06557378,269.90683215046965,8.014722,96.22593021392822,64080,0.9133033603429794,190,0.06557378,0.0,156.50603
231.475,0.0070305094,5,0.060701117,294.53627966815804,7.986865,100.66467595100403,68100,0.9415447078645229,195,0.060701117,0.0,159.88832
229.325,0.006906147,3,0.057607006,293.39535073318336,7.9413576,105.05026364326477,70662,0.9357838109135628,198,0.057607006,0.0,155.1716
228.375,0.0068500694,4,0.05987195,313.9573940706372,7.922913,109.44571852684021,73911,0.9626373797655106,202,0.05987195,0.0,154.75427
230.55,0.0069286856,5,0.062925115,319.88544206704,7.938221,113.85760283470154,77256,0.9612816646695137,207,0.062925115,0.0,153.10745
240.875,0.006299883,5,0.062739804,330.24734860333444,7.94849,118.2819972038269,81195,0.9250703677535057,212,0.062739804,0.0,156.05266
