entropy,optimgain,EpThisIter,EpRewMean,EpLenMean,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,surrgain,entloss,TimeElapsed,EpisodesSoFar
8.488146,0.065309174,48,13.1326475,20.975,3051,2.10539650364636,0.3218526840209961,0.007324844,0.065309174,0.0,6.026809453964233,48
8.45674,0.05835229,33,21.888733,28.15,6006,2.916095609218663,0.37145525217056274,0.0074173636,0.05835229,0.0,10.533392906188965,81
8.40857,0.059622683,18,34.26723,42.3,9012,7.109274064830221,0.5629428923130035,0.0068305926,0.059622683,0.0,14.888026475906372,99
8.326839,0.057036858,11,47.792156,59.575,12054,12.968130840784562,0.6939292252063751,0.006149271,0.057036858,0.0,19.259900093078613,110
8.304133,0.060881596,9,59.789772,76.675,15021,18.0593009080538,0.6007564067840576,0.0061717993,0.060881596,0.0,23.594675302505493,119
8.268067,0.06666972,8,67.76058,89.95,17898,19.37407868813991,0.7935829311609268,0.0065041296,0.06666972,0.0,27.956252813339233,127
8.227247,0.06253681,9,75.237854,105.325,21183,19.047102578869527,0.8807485476136208,0.006161218,0.06253681,0.0,32.32266402244568,136
8.248236,0.05966384,7,81.1467,116.325,24108,27.00706493560175,0.7554037868976593,0.0063157617,0.05966384,0.0,36.71433472633362,143
8.2469635,0.062612206,8,80.22068,121.425,27276,25.847009919828395,0.859087660908699,0.006282389,0.062612206,0.0,41.125837564468384,151
8.215512,0.0590982,6,87.655624,135.575,30513,32.441044437593725,0.8877834975719452,0.0062616644,0.0590982,0.0,45.57038402557373,157
8.188464,0.053638533,7,94.86364,144.025,34167,63.51800067887582,0.8186760544776917,0.0063904654,0.053638533,0.0,49.98416209220886,164
8.181933,0.06164864,5,99.66249,151.075,37119,79.23443572286172,0.8909744769334793,0.0062999437,0.06164864,0.0,54.34039759635925,169
8.18663,0.054899484,5,106.58901,158.9,39558,103.93647333767527,0.917019709944725,0.006897295,0.054899484,0.0,58.722195863723755,174
8.211622,0.063500345,2,108.63954,162.85,40725,111.07894036746089,0.8372831046581268,0.006004115,0.063500345,0.0,63.10006141662598,176
8.189945,0.062430464,5,114.895035,169.95,43725,141.2115161859742,0.9522722773253918,0.006140981,0.062430464,0.0,67.51687455177307,181
8.226871,0.0690063,5,121.80379,177.925,46782,177.752441579493,0.959436934441328,0.0075864056,0.0690063,0.0,71.92156481742859,186
8.228572,0.05491316,6,126.67696,188.925,50280,204.44656390467588,0.9320134595036507,0.0072313454,0.05491316,0.0,76.3171854019165,192
8.229008,0.06783367,6,123.638306,187.725,53907,228.14195715313025,0.9203643575310707,0.0068187644,0.06783367,0.0,80.73804783821106,198
8.20129,0.06987634,3,127.03652,194.65,55884,245.70967173574223,0.8466995805501938,0.0062182257,0.06987634,0.0,85.09946894645691,201
8.224486,0.07512115,6,123.49109,196.275,59136,260.78786560939824,0.9037195295095444,0.0073202206,0.07512115,0.0,89.56466627120972,207
8.170103,0.07043603,4,124.743454,202.1,62328,282.0011870615759,0.9531887732446194,0.005633831,0.07043603,0.0,93.96669673919678,211
8.165342,0.060234446,4,123.25901,205.575,64863,292.5326133913279,0.9017486423254013,0.0066054864,0.060234446,0.0,98.36958432197571,215
8.143429,0.065541826,4,122.14668,214.75,68310,295.5207026820961,0.8965124860405922,0.006779876,0.065541826,0.0,102.82477807998657,219
8.091812,0.07308949,5,115.92434,211.7,71076,288.2212645781356,0.9055705666542053,0.0068148067,0.07308949,0.0,107.20754408836365,224
8.051212,0.07059593,4,116.09917,219.5,74307,296.2058936860126,0.8563028424978256,0.0071499054,0.07059593,0.0,111.64392900466919,228
8.054325,0.076560795,4,118.64384,225.65,77358,312.338786497358,0.7991063892841339,0.0067041963,0.076560795,0.0,116.01595973968506,232
8.038817,0.083331585,5,118.627174,225.175,80439,318.54500222507687,0.8404434621334076,0.0065162377,0.083331585,0.0,120.35760164260864,237
8.012328,0.069481924,4,121.63295,234.225,83991,332.23380748967213,0.9390466846525669,0.005635204,0.069481924,0.0,124.73291397094727,241
8.021244,0.0752995,4,126.94383,246.5,87423,351.5556307489772,0.8527851998806,0.006316116,0.0752995,0.0,129.10994267463684,245
8.00861,0.067807905,3,128.49466,248.975,89571,357.1197908427697,0.8812528252601624,0.006435479,0.067807905,0.0,133.48963117599487,248
7.993091,0.068847075,4,129.84465,253.625,93201,364.96934513287476,0.9267084151506424,0.006737145,0.068847075,0.0,137.8727207183838,252
8.008605,0.074169725,4,134.19572,249.7,96453,384.66729683686725,0.6424124538898468,0.0063209585,0.074169725,0.0,142.26518177986145,256
8.014268,0.091154404,2,145.12721,259.575,98808,416.5803544653675,0.6640350818634033,0.0064546205,0.091154404,0.0,146.61479592323303,258
7.969924,0.08439184,3,152.0668,270.325,101667,440.77351640949837,0.7814940214157104,0.0069499714,0.08439184,0.0,150.96726512908936,261
7.947159,0.10291003,3,159.23831,280.6,104748,471.79970485668764,0.7322443425655365,0.006215157,0.10291003,0.0,155.29082322120667,264
7.876816,0.074751675,3,159.1971,277.625,107082,482.887151268854,0.8799283429980278,0.005782642,0.074751675,0.0,159.67509531974792,267
7.86,0.07708317,4,157.62524,276.1,110016,489.70420892768254,0.8308212757110596,0.0065759495,0.07708317,0.0,164.11207699775696,271
7.8513803,0.08832767,4,165.99971,285.15,113628,517.4729298780528,0.8370895385742188,0.006831007,0.08832767,0.0,168.57797813415527,275
7.8588386,0.08102562,3,179.53195,297.275,117042,561.1648944456782,0.8448016792535782,0.0076807104,0.08102562,0.0,173.02668833732605,278
7.846082,0.07825242,4,176.59634,295.65,120804,561.2570749594286,0.8877112716436386,0.006630101,0.07825242,0.0,177.4732367992401,282
7.8574824,0.11187767,3,183.92029,305.1,124035,589.5268360260654,0.8929419219493866,0.007258993,0.11187767,0.0,181.91870021820068,285
7.8616185,0.087181956,4,187.13985,303.9,126957,611.1241463015134,0.8369883894920349,0.0076882606,0.087181956,0.0,186.32758450508118,289
7.8479486,0.084080815,4,183.53133,300.775,130554,614.1160530876484,0.8673941940069199,0.006912253,0.084080815,0.0,190.74233651161194,293
7.850712,0.08698557,3,194.51057,314.1,134145,650.7829133515486,0.7966817766427994,0.006799877,0.08698557,0.0,195.16647386550903,296
7.841538,0.08385346,2,195.97586,318.05,136974,666.3475921311829,0.7868017852306366,0.00615637,0.08385346,0.0,199.5991711616516,298
7.8281713,0.09236206,4,194.08273,316.175,140607,666.5759865197724,0.7963469326496124,0.007279059,0.09236206,0.0,204.0116000175476,302
7.833972,0.082647845,3,202.12343,328.25,144804,698.618946546823,0.8479870855808258,0.00844035,0.082647845,0.0,208.42692160606384,305
7.825375,0.08295877,3,211.2559,334.4,147738,725.630141024052,0.8195345550775528,0.0073347245,0.08295877,0.0,212.81078481674194,308
7.8146234,0.081583604,3,218.57686,340.125,150831,748.9212736101363,0.8846833631396294,0.007759004,0.081583604,0.0,217.15886282920837,311
7.8269005,0.11042615,3,221.50847,338.525,153489,753.8649879030078,0.8567632287740707,0.006988398,0.11042615,0.0,221.5521285533905,314
7.799195,0.095689535,4,211.05623,330.325,156681,732.893529107221,0.8541679531335831,0.008595087,0.095689535,0.0,225.97781920433044,318
7.7955327,0.09121393,4,214.61592,327.75,160134,746.5244650637221,0.8162990510463715,0.006493662,0.09121393,0.0,230.35487699508667,322
7.789249,0.09853995,3,216.39714,324.625,162990,750.3252246007122,0.8398609608411789,0.007318022,0.09853995,0.0,234.74827694892883,325
7.7844276,0.08345169,3,219.7052,330.95,166131,765.5211244706867,0.9063060283660889,0.0070687844,0.08345169,0.0,239.1034517288208,328
7.77373,0.11181729,4,223.34065,330.275,169575,772.0485523931695,0.8758020326495171,0.006978739,0.11181729,0.0,243.50892186164856,332
7.7751,0.08555767,3,226.98099,324.9,171912,777.5962948028796,0.8699015080928802,0.0067383344,0.08555767,0.0,247.90722918510437,335
7.772659,0.07916753,2,221.85452,329.025,174918,769.1866059871007,0.8543117642402649,0.0073730582,0.07916753,0.0,252.25495719909668,337
7.7694664,0.109985754,4,219.02612,319.325,178254,757.220884938223,0.855831652879715,0.008536445,0.109985754,0.0,256.6169481277466,341
7.7684817,0.095542505,3,218.39279,310.625,180798,754.6572652644812,0.8535156399011612,0.0075601526,0.095542505,0.0,260.9953315258026,344
7.770828,0.102381214,4,214.94589,306.2,184482,745.347024840914,0.8993444666266441,0.0076959813,0.102381214,0.0,265.408490896225,348
7.755691,0.08913383,4,209.40732,297.725,187416,731.6365058814051,0.8878154531121254,0.0077513377,0.08913383,0.0,269.87664341926575,352
7.75505,0.09278833,5,202.9226,290.775,190845,718.0192459686139,0.8986083790659904,0.0068688896,0.09278833,0.0,274.2427372932434,357
7.725949,0.08177978,4,202.06735,286.075,193617,716.5384386878258,0.9079396650195122,0.0077615078,0.08177978,0.0,278.5939061641693,361
7.7356696,0.08860868,4,193.89868,279.725,196557,702.7739212970092,0.9368371367454529,0.007854163,0.08860868,0.0,282.9905035495758,365
7.7476234,0.08310256,4,186.52408,268.85,199434,683.424756035973,0.919219896197319,0.0073008924,0.08310256,0.0,287.36160230636597,369
7.748672,0.0948617,4,179.21935,264.5,202083,672.7556829109066,0.8943936824798584,0.008403065,0.0948617,0.0,291.7385013103485,373
