# {"env_id": "Walker2d-v2", "t_start": 1551119249.569105} 
r,l,t
-1.518071,26,8.284891
2.336288,11,8.299191
1.198566,24,8.339495
-3.450317,17,8.365648
11.595654,27,8.406584
1.639545,14,8.429642
-2.484835,11,8.44382
-1.186157,12,8.461162
-2.661314,10,8.47488
-0.366866,17,8.500896
-1.394692,24,8.535497
-1.686508,8,8.547299
-0.446025,13,8.56239
-1.779354,15,8.584515
0.946728,20,8.615405
-0.037013,18,8.640576
-2.599437,9,8.653901
2.298651,13,8.672349
-13.593421,19,8.69865
-3.510103,9,8.711056
-5.779208,20,8.738477
2.105362,33,8.785006
3.64919,19,8.810954
1.980584,13,8.830683
2.551977,26,8.868145
-8.615551,12,8.88482
7.111548,19,8.912143
3.417633,16,8.93396
5.716137,35,8.982303
1.733965,22,9.011386
-4.125394,20,9.038445
-9.725712,16,9.059127
2.735124,14,9.079081
9.256489,28,9.11749
-1.712526,8,9.128698
-3.755558,27,9.165713
-2.849423,11,9.180377
-2.427356,15,9.200509
-2.038629,17,9.224245
-0.425443,11,9.240981
4.810995,20,9.270149
-5.466476,13,9.289068
-4.045119,28,9.327125
0.055617,20,9.351536
4.821747,31,9.397197
-0.898578,10,9.410838
-2.924206,16,9.436318
6.551388,15,9.458544
7.782113,23,9.489848
3.952909,22,9.522313
-5.911894,8,9.53341
-0.002291,19,9.562652
8.434946,21,9.594673
6.482015,19,9.625974
2.721531,22,9.66086
-2.766046,13,9.678066
-0.907943,10,9.692987
-5.193514,16,10.360801
10.547683,51,10.438827
-4.240866,10,10.456217
-0.1622,18,10.484316
3.953424,22,10.514248
-6.597964,21,10.546085
-0.30659,12,10.564385
3.695884,30,10.61112
-3.08893,8,10.624612
-7.727079,21,10.655127
-0.54326,11,10.670931
-5.571526,7,10.680857
-3.893029,29,10.720291
9.476705,56,10.80275
-3.360849,11,10.817786
-1.583245,27,10.856041
-6.099688,22,10.888605
-2.951156,20,10.915964
2.532789,13,10.934444
11.739784,25,10.969929
1.869753,21,10.997932
-0.477912,12,11.015983
-2.757288,18,11.039937
-8.878865,19,11.06686
-0.179559,34,11.113867
3.268828,24,11.147384
-4.176795,11,11.162367
11.642855,24,11.196805
-4.536799,8,11.209747
-3.647017,21,11.239919
-5.045815,8,11.25274
0.235424,11,11.267012
4.964382,32,11.309642
7.272183,30,11.35268
1.58489,26,11.387782
8.17702,19,11.415296
2.984348,14,11.435101
-2.390945,10,11.447483
-3.368734,11,11.465119
-1.900626,9,11.479842
-1.399974,25,11.517764
3.490621,21,11.551035
12.85469,23,11.591403
2.069811,25,11.629894
0.413527,18,11.661261
24.388969,46,11.728372
3.01906,26,11.767386
-2.867584,11,11.782696
-2.069514,25,11.819492
0.977771,14,11.842263
1.86767,30,12.017142
-1.10006,14,12.038756
0.732113,18,12.065238
3.288437,40,12.120351
13.713465,28,12.15944
1.034991,11,12.175242
1.868969,16,12.19685
-4.946652,23,12.233085
3.555539,30,12.2836
5.585717,36,12.334835
2.810896,28,12.375791
-6.10625,13,12.394049
-1.779111,32,12.439764
-0.272713,10,12.453292
-1.8132,16,12.475506
2.541132,18,12.501799
3.8937,23,12.534813
0.862136,27,12.573129
7.723297,32,12.619951
3.675568,18,12.645144
-1.152859,9,12.657568
-5.168892,14,12.677041
6.887737,22,12.708518
18.204992,30,12.751992
-2.543784,11,12.76821
4.997941,25,12.80374
1.51907,18,12.828486
5.242479,15,12.850652
-0.119258,17,12.873699
-1.240609,14,12.893808
-0.686366,26,12.929938
-3.550024,12,12.947738
8.241358,26,12.98239
-1.724399,26,13.017293
