EpLenMean,entloss,EpTrueRewMean,meankl,EpRewMean,surrgain,EpThisIter,TimestepsSoFar,ev_tdlam_before,entropy,optimgain,EpisodesSoFar,TimeElapsed
20.5,0.0,1.9300675413971384,0.007875559,23.74967,0.059108995,49,3090,0.5991341471672058,8.478027,0.059108995,49,5.99160623550415
32.625,0.0,5.765372539109772,0.0075609596,30.362427,0.06190592,29,6306,0.6188339293003082,8.43358,0.06190592,78,10.477545261383057
44.625,0.0,7.318347826211172,0.0066166995,38.673256,0.05938296,18,9438,0.6774838864803314,8.367121,0.05938296,96,14.889833211898804
60.45,0.0,8.276765984354071,0.0064788833,50.477394,0.057153866,11,12477,0.759014829993248,8.296756,0.057153866,107,19.292781114578247
77.25,0.0,11.169053974695,0.0057952916,62.705547,0.055161603,10,15453,0.7921883165836334,8.222668,0.055161603,117,23.683555364608765
92.95,0.0,12.119453066534595,0.0066516693,73.59338,0.06300976,7,18483,0.9121826887130737,8.192994,0.06300976,124,28.07948899269104
107.675,0.0,22.15992097921612,0.006454688,83.50913,0.058740072,7,21495,0.8473042696714401,8.186283,0.058740072,131,32.456300497055054
118.85,0.0,40.98193424519475,0.006724622,91.14895,0.06025158,7,24237,0.9026385247707367,8.103941,0.06025158,138,36.87745404243469
132.7,0.0,60.40620804789919,0.0060838843,100.16789,0.0594299,5,27333,0.8811184540390968,8.085937,0.0594299,143,41.28035569190979
145.575,0.0,82.6647373645827,0.006314274,107.406265,0.05942271,5,30273,0.9180078953504562,8.036697,0.05942271,148,45.659770250320435
159.05,0.0,115.00910376315365,0.006870052,116.73784,0.05640443,6,33492,0.9347615018486977,8.066847,0.05640443,154,50.06759858131409
170.25,0.0,142.70657067783728,0.0062400247,123.15625,0.052422203,4,36309,0.9338332638144493,8.023694,0.052422203,158,54.433600664138794
180.8,0.0,182.09321206291756,0.00675512,129.63492,0.062401645,5,39540,0.9580325558781624,8.021427,0.062401645,163,58.7595853805542
190.95,0.0,204.11392344105593,0.0067315903,133.08028,0.049597725,3,42393,0.8899051025509834,8.008297,0.049597725,166,63.1030375957489
201.95,0.0,227.9403874194938,0.0064719487,137.8907,0.066460796,4,45219,0.930654413998127,8.000172,0.066460796,170,67.4722352027893
215.225,0.0,252.334955666796,0.006030473,143.8934,0.06983982,4,48441,0.9630046784877777,7.970089,0.06983982,174,71.83733797073364
224.925,0.0,279.86446862247203,0.0059713144,147.71686,0.060400546,4,51228,0.9732876811176538,7.944154,0.060400546,178,76.23483061790466
233.675,0.0,309.51462158501016,0.006272561,151.06264,0.066914104,4,54627,0.9801390804350376,7.9407473,0.066914104,182,80.64934301376343
238.25,0.0,327.0765758585957,0.006956648,151.58192,0.08992118,3,57063,0.8274548947811127,7.9320216,0.08992118,185,85.08678197860718
239.325,0.0,338.4327940787495,0.006005481,148.9197,0.066140816,4,59736,0.9616744220256805,7.949292,0.066140816,189,89.50646114349365
249.6,0.0,351.1903457617606,0.006346223,149.92957,0.059167467,4,63030,0.9434899538755417,7.9323735,0.059167467,193,93.91841912269592
253.425,0.0,364.01494614968306,0.005948514,147.99147,0.06780253,4,66144,0.9529816806316376,7.8715057,0.06780253,197,98.34785532951355
264.9,0.0,373.5139206507354,0.0063731605,148.30643,0.06487044,4,69903,0.9632287696003914,7.886669,0.06487044,201,102.74995756149292
265.175,0.0,375.45587515759235,0.0061220736,144.37814,0.065850176,3,72993,0.9416350275278091,7.881103,0.065850176,204,107.15795350074768
272.475,0.0,391.24822084219466,0.006019597,146.41885,0.071360596,3,75975,0.9730451367795467,7.838012,0.071360596,207,111.61987400054932
281.5,0.0,404.7507291888329,0.0067973277,149.59615,0.07290064,1,77811,0.5634511709213257,7.7875214,0.07290064,208,116.01067972183228
295.725,0.0,417.97157803371164,0.005782962,152.27234,0.08154153,3,81231,0.981763182207942,7.774967,0.08154153,211,120.3554060459137
293.25,0.0,419.92081545349413,0.006240939,149.58003,0.06914623,3,83631,0.9789138603955507,7.7575536,0.06914623,214,124.77436232566833
294.675,0.0,425.7942082694082,0.0060729543,149.11227,0.08633117,4,86589,0.9712298046797514,7.7562904,0.08633117,218,129.11105847358704
290.725,0.0,423.3477098127743,0.0064353086,144.30042,0.07517262,5,90243,0.9745975453406572,7.7264867,0.07517262,223,133.43669080734253
290.925,0.0,425.8070393203314,0.006072088,142.575,0.07367991,3,92580,0.9928653468377888,7.7485204,0.07367991,226,137.84425330162048
296.875,0.0,443.51829890722763,0.006358905,144.48418,0.075748935,4,95949,0.9863848676905036,7.741318,0.075748935,230,142.19794821739197
302.775,0.0,453.68335997098495,0.005685194,144.63107,0.09042965,3,99363,0.9871774967759848,7.7466435,0.09042965,233,146.547527551651
306.55,0.0,457.8041084615632,0.006628242,144.6459,0.10571786,3,102180,0.9636116214096546,7.7536044,0.10571786,236,150.9699625968933
305.525,0.0,469.04067342045767,0.007094817,144.49576,0.07715058,4,105960,0.9749628808349371,7.7772818,0.07715058,240,155.35511946678162
326.725,0.0,493.5883284257816,0.0062905573,150.08566,0.0855114,3,111039,0.9802624862641096,7.761655,0.0855114,243,159.75550413131714
320.75,0.0,489.39066339414893,0.007011732,145.71753,0.0901299,4,114465,0.9629929251968861,7.766189,0.0901299,247,164.16181993484497
300.9,0.0,477.01636803029453,0.006923902,138.7363,0.08573489,4,117339,0.9802550673484802,7.7711053,0.08573489,251,168.4796998500824
308.375,0.0,486.47729951997434,0.0074655893,138.35352,0.073828936,3,120636,0.9797480311244726,7.743348,0.073828936,254,172.86267948150635
319.25,0.0,497.67818702290805,0.0074207196,142.32274,0.15534845,1,122700,0.523645430803299,7.765881,0.15534845,255,177.3074676990509
331.15,0.0,511.61031023104454,0.006246983,144.92435,0.08015583,2,125682,0.905038595199585,7.740413,0.08015583,257,181.73951745033264
332.35,0.0,517.2369670553779,0.006592379,145.27002,0.08808651,3,128100,0.8905363604426384,7.73444,0.08808651,260,186.15246725082397
336.85,0.0,522.4019512004704,0.0068400186,145.25754,0.08905192,3,130665,0.930280789732933,7.7159886,0.08905192,263,190.54869771003723
349.175,0.0,535.2331845820606,0.006843942,148.75705,0.07446326,1,133008,0.8597650527954102,7.72594,0.07446326,264,194.92843675613403
357.4,0.0,545.028712579997,0.0077556376,152.8989,0.079238124,3,136086,0.8712203204631805,7.7192984,0.079238124,267,199.33957028388977
