# {"t_start": 1551135471.2695887, "env_id": "Walker2d-v2"} 
r,l,t
-0.138349,14,11.157471
-3.514826,8,11.169858
-1.934572,18,11.196141
-4.27929,16,11.221565
0.002882,14,11.243096
-1.732333,8,11.253867
-0.766179,9,11.266439
0.11291,37,11.315657
-4.393611,20,11.349979
7.746176,29,11.390117
-1.109337,12,11.413319
-3.625722,12,11.429469
-2.688651,21,11.45996
-1.598047,40,11.518083
-0.384295,11,11.537479
-2.994248,10,11.555237
4.017736,13,11.575393
-2.340825,12,11.594267
-1.826835,15,11.615391
2.918763,27,11.654417
8.412596,20,11.681443
-0.325915,11,11.701784
-9.590765,15,11.722665
3.594325,17,11.748364
-6.091124,30,11.79088
-0.950236,14,11.810661
6.342799,26,11.844431
-4.027764,13,11.865328
7.613459,34,11.919174
-6.557969,12,11.939141
-3.844723,9,11.9546
-0.688811,16,11.980928
3.702543,21,12.009742
1.038592,17,12.037494
-1.205764,30,12.084857
-5.898124,12,12.103965
-3.210785,9,12.116621
-2.008584,23,12.147696
-5.918064,14,12.172649
-7.228129,13,12.191326
-0.89941,8,12.203481
-2.28055,12,12.220366
-5.87166,13,12.23943
2.52923,12,12.256503
-4.821798,34,12.306167
0.398943,25,12.343075
-1.883812,19,12.370711
-1.706502,15,12.392559
-4.370245,7,12.403425
-0.614386,18,12.433564
-3.532868,15,12.457953
3.892235,32,12.504215
0.538617,16,12.531765
-3.284447,15,12.559645
-2.63608,11,12.576625
-1.192852,12,12.592207
-2.428938,12,12.608212
-2.278683,14,12.62536
5.837085,25,12.65985
-1.997513,22,13.423576
1.538279,15,13.445688
-7.252888,12,13.461296
0.939619,17,13.485036
-6.618537,12,13.50257
1.58064,14,13.524354
-8.618686,19,13.54967
-7.000413,24,13.585047
-6.494083,27,13.625836
-11.300922,16,13.648627
-1.62035,23,13.687819
-8.78796,30,13.725135
-0.911042,16,13.749466
-0.744685,16,13.772032
6.646303,22,13.807316
12.458489,25,13.84691
1.23403,19,13.874655
-5.599264,12,13.891697
1.615682,16,13.915742
14.549774,37,13.968933
6.270815,19,13.996071
-0.406916,11,14.010714
7.797695,33,14.055151
-0.716982,11,14.069688
