EpisodesSoFar,surrgain,meankl,TimestepsSoFar,EpLenMean,entloss,EpTrueRewMean,EpRewMean,ev_tdlam_before,entropy,EpThisIter,TimeElapsed,optimgain
46,0.06806411,0.008228564,1014,22.1,0.0,0.47832136421591204,20.379461,0.5469752550125122,8.5341835,46,6.294270753860474,0.06806411
73,0.059148267,0.00661409,2025,32.025,0.0,3.9806732629760253,25.457737,0.4153870940208435,8.458239,27,10.887114763259888,0.059148267
92,0.06768369,0.0073498036,3057,44.025,0.0,6.383887396088633,32.041546,0.6693148016929626,8.373702,19,15.178149700164795,0.06768369
106,0.066823356,0.007300706,4000,55.95,0.0,8.704649280148374,41.12157,0.7330221831798553,8.318526,14,19.44198226928711,0.066823356
116,0.063771755,0.0055596237,5056,71.9,0.0,18.73163197100919,51.185364,0.7620445787906647,8.255429,10,23.76929521560669,0.063771755
122,0.057329252,0.0057553602,6035,88.175,0.0,38.67577284277296,64.54973,0.829134002327919,8.182995,6,28.04063582420349,0.057329252
130,0.061886203,0.006513334,7058,102.0,0.0,41.58168054133319,75.19544,0.8433599025011063,8.131425,8,32.325674057006836,0.061886203
135,0.06595261,0.0062196786,8016,116.85,0.0,56.193260891998875,87.25487,0.8624026626348495,8.072278,5,37.073540925979614,0.06595261
141,0.06643149,0.0070793126,9313,140.3,0.0,81.86312364895267,105.96538,0.8807474747300148,8.081111,6,41.40473818778992,0.06643149
145,0.061615795,0.006947918,10345,160.725,0.0,106.18339205567145,122.35901,0.9236477911472321,8.005433,4,45.675772190093994,0.061615795
151,0.06278312,0.0064787013,11434,171.875,0.0,125.13571133505698,131.38135,0.920663870871067,8.012315,6,49.95667600631714,0.06278312
156,0.06611569,0.0064869495,12387,183.275,0.0,141.79147648420962,140.9742,0.9300754517316818,7.9851046,5,54.282665729522705,0.06611569
161,0.06314953,0.0068587605,13490,189.95,0.0,156.02077218296023,145.47446,0.8905755802989006,7.9253387,5,58.59141945838928,0.06314953
164,0.057376027,0.0061826045,14356,198.25,0.0,173.89069529117054,152.43008,0.9411128722131252,7.892761,3,62.88144302368164,0.057376027
169,0.05883361,0.006338991,15350,211.325,0.0,188.1784805137908,161.32877,0.9220523685216904,7.873547,5,67.18428230285645,0.05883361
174,0.06599234,0.0063053262,16474,214.15,0.0,189.87141910821464,161.41196,0.9532664492726326,7.861329,5,71.50824666023254,0.06599234
178,0.059333652,0.00634171,17404,216.55,0.0,192.32417658102582,162.40256,0.9426152221858501,7.8131723,4,75.8395562171936,0.059333652
182,0.06555078,0.006244859,18362,222.625,0.0,197.58233371226567,165.17783,0.9505029916763306,7.8142242,4,80.1272919178009,0.06555078
186,0.067280605,0.0071418853,19295,218.575,0.0,208.07173359966183,160.6749,0.9643482230603695,7.758008,4,84.46572041511536,0.067280605
189,0.073292285,0.007131653,20050,222.275,0.0,220.84624461388563,164.23694,0.9681105799973011,7.7628665,3,88.75785851478577,0.073292285
193,0.05636289,0.0067464896,21049,230.075,0.0,240.392017086919,169.44095,0.9471922144293785,7.75183,4,93.09310364723206,0.05636289
198,0.06388301,0.007186467,22259,231.225,0.0,263.7625642559382,171.37407,0.9773107003420591,7.696842,5,97.40787649154663,0.06388301
201,0.06240951,0.0066108117,23022,238.3,0.0,271.3949711488508,175.61076,0.9526862613856792,7.6776114,3,101.69381976127625,0.06240951
