# {"env_id": "Walker2d-v2", "t_start": 1551135471.4643962} 
r,l,t
-0.878626,28,11.251909
-1.803395,18,11.277359
-6.294724,23,11.310372
8.327652,31,11.35828
0.313789,27,11.397941
-5.225416,10,11.412584
-0.718467,13,11.431744
1.419256,16,11.453418
-1.576851,10,11.468059
-5.699942,19,11.492426
0.082838,18,11.518406
0.438667,27,11.556983
0.779981,19,11.586941
-2.717918,9,11.60074
11.908295,36,11.655666
-0.564403,10,11.672116
1.226935,22,11.703181
-5.025239,7,11.716137
-4.034491,12,11.73478
6.078436,18,11.763724
5.943288,25,11.798836
-1.106569,16,11.822393
-3.999274,9,11.839631
-0.478552,31,11.886475
-2.444792,14,11.906065
-2.756853,27,11.944535
3.110176,16,11.967464
3.776849,19,11.996685
-4.553448,8,12.009062
-4.057523,15,12.035309
-6.567815,19,12.061828
0.352424,12,12.078676
-1.83217,10,12.094552
0.697007,12,12.11127
-2.256507,21,12.142123
0.852097,25,12.180318
4.881364,23,12.218599
-0.941993,16,12.247843
3.841555,24,12.287429
-0.172526,12,12.306243
-4.330256,12,12.326703
-5.464606,17,12.350223
-1.905745,9,12.361748
-0.321857,12,12.377416
-4.647645,21,12.406513
1.153576,15,12.427932
-0.759151,12,12.445086
0.820187,27,12.481893
26.384135,39,12.534795
-2.18657,16,12.553934
-5.459956,14,12.573873
-7.470084,14,12.591324
3.97146,16,12.611998
0.444473,9,12.625901
-2.540373,22,12.654845
3.92839,16,12.67688
-6.587489,11,12.690253
1.840897,14,12.707532
-0.341261,18,13.491513
-1.985611,18,13.513608
-5.780971,16,13.537447
-1.571001,11,13.5524
-1.696647,17,13.57574
-0.649954,10,13.596365
0.744183,12,13.617396
-1.994357,11,13.633183
-2.795489,17,13.660192
-3.561205,11,13.67539
3.678482,35,13.726567
-5.724503,10,13.741907
7.218984,21,13.774931
-5.944276,12,13.793125
30.531728,41,13.849808
-0.927284,21,13.878988
-3.377419,14,13.899632
-1.105074,20,13.931106
-0.342417,18,13.958782
2.849352,18,13.980119
-6.473031,15,14.001667
-2.684848,22,14.032531
-6.934794,18,14.056986
2.785767,28,14.098004
-9.050691,33,14.140585
-2.535544,19,14.16731
2.354692,17,14.192691
-2.994882,14,14.210791
5.307399,32,14.255257
-5.519766,20,14.28715
-7.062743,24,14.324495
-2.172711,21,14.354712
1.310705,14,14.373826
-0.728897,14,14.393656
-0.709608,13,14.412332
-5.133166,15,14.439919
2.388253,16,14.465513
-2.017329,16,14.490844
-1.583349,21,14.520866
-9.525978,20,14.553529
1.021666,25,14.591634
2.514184,14,14.6094
9.673592,41,14.664004
2.007313,14,14.682622
0.731127,15,14.700287
6.530697,29,14.747109
1.610895,26,14.786418
4.153601,40,14.841508
-2.830375,18,14.864959
-1.812777,19,14.888581
0.148322,22,14.919432
-0.31169,15,14.938231
-1.101863,34,15.138231
13.45557,40,15.18948
-4.737689,22,15.224748
-2.428216,11,15.242208
2.438537,40,15.297344
13.437373,32,15.340201
-2.025823,12,15.356344
-10.166043,23,15.387324
-1.470915,10,15.40043
0.635526,18,15.424829
-1.333936,22,15.456388
-0.925122,13,15.47323
5.632439,29,15.511663
1.160709,24,15.544367
-10.17403,21,15.572419
-1.200759,14,15.59128
1.310245,28,15.628804
2.684698,16,15.65065
-4.621456,14,15.670782
0.125277,16,15.690738
-0.186114,12,15.708158
19.787128,36,15.757823
-4.680458,15,15.779038
5.080282,21,15.806948
5.909035,19,15.832839
-5.667808,21,15.863007
-5.994958,21,15.891937
-3.326409,19,15.91774
-1.445092,14,15.937672
-0.220004,14,15.958542
-2.961217,12,15.974506
-2.139445,22,16.002999
9.279261,19,16.027964
-8.459367,25,16.061184
9.236116,52,16.138604
0.117107,20,16.165677
-6.784243,12,16.18379
10.355952,32,16.226412
7.333688,22,16.257618
7.637953,22,16.285561
-9.904656,18,16.308505
-3.956938,28,16.348167
-2.757174,18,16.371102
-2.295322,25,16.405166
-0.328709,9,16.418437
-1.945442,14,16.437349
-4.405335,17,16.462007
-8.663749,34,16.811178
-2.394427,16,16.836725
-0.639928,28,16.874688
-17.571921,24,16.911025
20.6852,43,16.964033
9.757879,39,17.022997
7.319417,26,17.055547
-3.620299,12,17.070801
-9.507646,15,17.090092
-12.755134,17,17.112684
0.358071,26,17.146006
4.717511,41,17.196864
-0.485871,16,17.21984
-10.371045,31,17.259357
18.908944,34,17.302203
3.213851,13,17.321306
7.926653,18,17.346445
10.187036,36,17.395015
-9.194497,15,17.415829
13.267197,32,17.46014
-1.286009,15,17.480982
-6.186336,22,17.510599
13.968078,27,17.546507
16.51271,30,17.585169
-0.918219,23,17.614956
7.028861,23,17.64616
11.701029,49,17.711835
-7.673899,21,17.739288
2.240655,12,17.756182
4.758392,34,17.802863
0.203976,30,17.849685
-2.146173,30,17.889862
4.591267,26,17.926099
-0.740674,38,17.975803
-4.521872,21,18.006423
-4.405091,22,18.037686
6.359461,43,18.101213
-2.062152,24,18.139147
-2.450894,18,18.164255
4.135471,29,18.20663
-6.092774,26,18.399868
0.970732,22,18.429696
-3.545191,31,18.473016
-3.955145,15,18.498672
-8.019939,23,18.527855
7.140368,26,18.5614
10.802582,41,18.615308
-6.546562,18,18.638048
11.0556,25,18.671935
14.710035,39,18.722751
1.91409,37,18.77158
22.044348,44,18.829376
0.166404,15,18.848435
-0.526453,28,18.885483
2.307152,50,18.949691
-5.387219,26,18.986942
29.046192,85,19.103295
-7.981706,16,19.126984
9.673805,39,19.175757
2.215099,21,19.204006
9.536585,29,19.243324
0.198572,13,19.262975
18.025181,34,19.311145
-6.171306,37,19.361356
