# {"env_id": "Walker2d-v2", "t_start": 1551135883.9765692} 
r,l,t
-3.141229,12,10.506153
-0.426292,15,10.529668
3.74209,35,10.590194
-3.352019,19,10.621206
-1.473407,14,10.643183
2.605759,23,10.679977
-0.595109,12,10.70305
4.590691,19,10.73501
4.041289,30,10.787468
5.263826,28,10.836762
-0.834894,13,10.859301
-7.207659,15,10.884855
5.243576,27,10.926232
-2.973572,14,10.951091
2.520029,19,10.982238
-3.447689,9,10.996364
-11.749541,14,11.019469
-2.091633,19,11.055623
2.769639,16,11.082282
-4.180367,11,11.110585
-2.756252,10,11.129185
0.242428,12,11.150658
5.942461,39,11.217384
5.889726,49,11.303022
3.112569,21,11.343085
-1.954315,8,11.356497
-0.72829,12,11.376951
-5.730764,7,11.38866
2.821388,13,11.40993
2.383178,19,11.441262
-2.707663,15,11.465622
-2.22792,14,11.489282
4.246909,14,11.512394
-1.696721,11,11.53098
-4.247616,26,11.571637
-1.676619,13,11.592521
2.245791,24,11.631447
0.261573,37,11.690734
0.353882,17,11.717577
-2.059682,11,11.735184
5.088423,20,11.766426
-4.237223,14,11.789303
2.828324,16,11.817321
6.341266,31,11.870512
-1.524796,11,11.888287
12.138429,33,11.940747
-0.168431,15,11.966256
-5.193899,15,11.992743
3.373796,22,12.028801
-0.592754,15,12.052345
-7.41009,17,12.079151
1.863923,27,12.12338
9.133418,26,12.170226
-3.689681,30,12.955839
12.051596,22,12.997649
-3.467,7,13.008516
-1.683833,9,13.023
-4.473602,22,13.056611
1.571027,13,13.077652
-6.358432,16,13.10293
-2.454991,15,13.12551
3.45262,14,13.147791
4.669143,16,13.173552
-2.929462,21,13.210708
-6.767002,23,13.249475
3.226053,16,13.276689
5.375339,16,13.304361
-3.784151,23,13.34218
14.525607,33,13.39581
-5.898395,17,13.423648
9.578729,41,13.487273
0.735627,14,13.509119
-4.293214,17,13.536604
0.936002,22,13.576357
4.749528,23,13.616915
-5.222413,25,13.663537
0.689228,24,13.704188
-1.870285,11,13.724916
-6.928323,27,13.769459
-2.50272,13,13.79009
6.943478,38,13.853928
3.89591,26,13.896412
-2.212278,25,13.94519
-4.313593,13,13.968734
1.891825,17,13.995753
-4.449816,13,14.016878
-2.55728,11,14.035234
0.280129,21,14.074007
32.313758,65,14.192154
-0.020518,14,14.216775
0.439442,12,14.235672
-2.684561,18,14.265664
2.22033,16,14.293452
-6.162315,24,14.331545
-3.555178,17,14.359404
-7.843967,14,14.380936
-3.670972,16,14.406105
-2.578333,9,14.420232
0.51966,16,14.445779
2.350725,37,14.502308
3.506464,16,14.528741
8.555507,44,14.595129
-4.405048,9,14.609931
-0.729326,28,14.657804
-2.470469,25,14.862325
-4.725867,13,14.88365
2.343803,15,14.909579
-5.570788,24,14.946855
-1.353531,15,14.970094
35.250122,68,15.086161
5.539917,17,15.119487
8.713828,63,15.225564
2.155945,20,15.261001
0.013988,15,15.284627
1.807267,19,15.320321
-4.870991,28,15.368284
8.428139,25,15.409611
-1.607041,19,15.440301
6.04272,22,15.479841
55.869537,78,15.616863
-0.214554,26,15.6635
15.296534,37,15.729435
-3.147028,9,15.744137
0.146764,10,15.760574
-1.63965,22,15.79553
-1.849178,11,15.81268
-3.591303,31,15.862122
6.147856,30,15.909552
15.96422,39,15.971799
5.903113,32,16.022329
0.82898,37,16.08037
2.185989,16,16.114112
-1.043632,9,16.129191
-2.6185,9,16.146214
17.5756,35,16.206884
-2.423484,17,16.234228
0.564448,17,16.263488
-4.789213,21,16.298442
-0.824742,13,16.320301
0.985543,17,16.349449
-1.946007,10,16.366206
6.228481,25,16.407908
-4.52728,22,16.446547
9.914496,31,16.498996
-1.878815,8,16.514634
3.640996,17,16.543424
0.864008,18,17.469714
-3.479608,14,17.493219
2.234004,26,17.542354
-3.301752,24,17.58389
2.319574,13,17.604849
-4.336051,22,17.640661
10.696567,23,17.679787
10.672936,35,17.735239
18.461427,30,17.78352
-2.303459,13,17.804061
-9.327839,20,17.838782
-0.01488,20,17.872279
1.359386,15,17.899058
1.913597,16,17.927519
-0.190316,20,17.966163
-1.45879,72,18.08785
-0.401975,11,18.106022
6.452888,19,18.139971
5.1084,26,18.187774
3.586872,29,18.235583
4.208518,14,18.257781
-5.019552,18,18.290332
6.205696,16,18.317034
1.924912,24,18.358742
2.331537,18,18.391313
0.922626,20,18.428047
21.644184,46,18.507262
3.871213,25,18.547592
-2.136887,15,18.570134
18.796837,36,18.628762
0.467296,20,18.661696
6.021354,46,18.734945
1.78023,17,18.764405
5.218115,18,18.792879
1.366476,30,18.839663
-1.443639,11,18.856565
41.397336,56,18.945339
-0.007304,10,18.964068
5.564261,15,18.989242
-0.409328,19,19.019956
6.249389,21,19.05499
-3.609837,12,19.076425
6.19927,18,19.110122
-1.10634,13,19.132029
0.729032,22,19.174098
0.814984,13,19.348872
10.274229,31,19.409327
-0.64129,9,19.426315
-6.061244,18,19.45685
-4.000733,13,19.477848
3.532149,30,19.526139
6.255296,23,19.56938
23.922802,50,19.648839
4.356403,24,19.688419
-0.298183,12,19.709445
6.19867,25,19.750754
-3.159414,8,19.767396
-0.112165,25,19.810992
16.173766,28,19.858895
-4.156439,20,19.893903
-1.042937,18,19.924194
2.093089,17,19.955646
6.810877,23,19.992866
-1.17666,15,20.016812
-1.121598,16,20.042099
3.568157,25,20.081487
20.119215,57,20.17399
10.819594,26,20.21735
5.86271,18,20.244807
2.17591,15,20.268018
21.021776,48,20.342246
19.37455,43,20.419862
-5.740696,21,20.456081
23.71822,36,20.512219
0.393281,12,20.533954
1.456728,42,20.601561
4.390404,15,20.625476
-2.329181,11,20.644285
3.508524,28,20.693756
9.620409,31,20.748286
1.146986,12,20.769594
3.780856,15,20.797066
6.728974,32,20.847743
2.484189,28,20.895671
2.108854,20,20.928222
4.228456,17,20.956081
1.026818,26,21.002915
3.054282,13,21.024162
-3.455725,26,21.22485
19.095219,33,21.292696
6.037114,25,21.337451
6.99573,26,21.382329
-6.838332,16,21.409271
8.289194,27,21.453259
64.341952,72,21.56386
18.260989,42,21.627492
3.421313,66,21.736405
2.439586,14,21.759337
11.992762,90,21.911287
29.138876,47,21.988544
9.498257,28,22.032168
11.180899,28,22.077471
7.363623,23,22.119509
4.349362,19,22.150957
-3.073183,20,22.186373
-3.00152,12,22.211653
-1.805232,20,22.24662
102.102459,132,22.468434
2.591764,22,22.505276
-6.4985,9,22.520028
7.86748,23,22.559645
8.759062,32,22.625575
-1.400585,16,22.653854
-6.479362,21,22.690187
-1.594699,14,22.710933
2.119601,25,22.75762
-2.974592,12,22.776311
49.285275,69,22.8839
11.068612,28,22.931942
3.931551,112,23.819378
-0.638315,24,23.864189
32.386061,61,23.965655
-0.549277,18,23.994699
10.377776,54,24.090338
4.521422,18,24.120455
11.725539,34,24.176566
1.091817,13,24.199775
20.347774,75,24.316611
23.271384,40,24.378294
3.41414,40,24.441541
39.079793,67,24.54617
-9.362741,17,24.572356
31.240103,42,24.64445
-0.443824,18,24.679004
17.747234,27,24.726668
268.185263,161,24.993117
23.29923,50,25.084553
12.514519,40,25.151276
4.342165,28,25.200762
6.868466,19,25.234958
39.291074,78,25.528725
2.597063,13,25.554578
2.262783,39,25.623461
-0.273731,15,25.648444
-1.035506,12,25.667279
26.54681,42,25.741338
71.554341,107,25.909131
41.552501,64,26.008313
15.214034,40,26.074544
6.864686,25,26.116317
-0.724988,18,26.149151
2.104015,11,26.170544
37.760878,50,26.263321
3.685181,14,26.28704
-3.397598,16,26.313276
13.027773,32,26.368088
15.096053,84,26.516075
16.664576,40,26.585042
40.917731,55,26.679606
5.38108,19,26.709773
58.472602,101,26.883093
3.943486,26,26.929621
2.928595,15,26.95658
26.676473,45,27.035047
13.245059,28,27.081665
22.27444,44,27.14993
2.969513,13,27.173248
12.571359,33,27.233859
24.32201,48,27.46842
0.945245,12,27.489676
23.698601,56,27.591927
-2.393855,20,27.624731
26.366884,39,27.687672
4.939079,22,27.723678
270.048238,165,28.009894
13.940147,31,28.064339
6.083579,23,28.103413
33.744228,50,28.183696
18.883849,42,28.258853
0.593104,18,28.290196
262.262425,153,28.550458
13.796117,23,28.58583
14.804355,31,28.635884
63.245341,69,28.747035
290.738718,178,29.037135
42.740129,161,30.028783
205.376035,126,30.237808
13.543061,36,30.294752
28.510611,61,30.397187
14.584389,41,30.464437
10.895996,31,30.518132
0.116227,17,30.544449
-0.219606,26,30.583848
41.270305,77,30.722307
2.684631,16,30.750433
5.522649,23,30.787604
18.809329,32,30.847032
28.968675,63,30.950282
52.241741,80,31.092304
13.905033,65,31.206666
64.491414,133,31.435333
64.846605,105,31.766263
47.438699,82,31.903676
15.382113,30,31.953704
84.345997,112,32.139149
191.314364,137,32.369077
40.187569,105,32.551257
11.090797,24,32.5937
-0.785507,10,32.611781
-1.231154,10,32.626972
86.398345,75,32.751286
27.213179,63,32.861243
21.860926,32,32.916072
2.967666,15,32.940408
17.245796,39,33.005504
35.900192,74,33.121278
275.717747,150,33.364027
31.616516,45,33.444409
20.573039,42,33.674505
19.349352,33,33.732469
-3.287775,13,33.754471
21.100076,42,33.838455
262.363771,155,34.10633
91.212313,111,34.304597
24.958664,40,34.372589
56.805166,94,34.52333
14.83188,40,34.589353
5.802773,18,34.618126
18.455276,27,34.661268
141.275185,104,34.825081
17.0063,39,34.891407
26.354738,70,35.009463
34.321986,66,35.115721
84.763289,91,35.275096
11.01519,26,35.324048
18.436778,39,36.097002
24.996167,86,36.247871
46.236189,91,36.404828
71.892721,70,36.522746
7.027401,27,36.564644
400.862596,267,37.027525
74.928568,133,37.254008
10.289214,117,37.438614
22.067763,51,37.519659
12.394037,38,37.577768
108.955381,149,37.979525
224.637888,279,38.471916
41.349523,113,38.663888
204.253533,119,38.853791
296.092884,157,39.101989
54.845007,68,39.215548
155.971664,141,39.450074
90.796911,122,39.664759
41.55857,62,39.938344
18.97563,44,40.022755
36.531367,68,40.139884
15.345625,39,40.207688
166.783669,101,40.365993
17.014853,40,40.427831
24.669866,56,40.513935
