# {"t_start": 1551137944.1627483, "env_id": "Walker2d-v2"} 
r,l,t
-1.518071,26,11.298342
2.336288,11,11.321533
1.198566,24,11.368056
-3.450317,17,11.399348
11.595654,27,11.449534
1.639545,14,11.475228
-2.484835,11,11.493109
-1.186157,12,11.515455
-2.661314,10,11.535355
-0.366866,17,11.567961
-1.394692,24,11.610212
-1.686508,8,11.626787
-0.446025,13,11.651933
-1.779354,15,11.682762
0.946728,20,11.725002
-0.037013,18,11.763797
-2.599437,9,11.783762
2.298651,13,11.809152
-13.593421,19,11.843704
-3.510103,9,11.859576
-5.779208,20,11.89678
2.105362,33,11.961533
3.64919,19,12.002942
1.980584,13,12.028198
2.551977,26,12.074486
-8.615551,12,12.100221
7.111548,19,12.135175
3.417633,16,12.162868
5.716137,35,12.225346
1.733965,22,12.264732
-4.125394,20,12.301278
-9.725712,16,12.327742
2.735124,14,12.355026
9.256489,28,12.409809
-1.712526,8,12.428387
-3.755558,27,12.477244
-2.849423,11,12.496664
-2.427356,15,12.5306
-2.038629,17,12.562353
-0.425443,11,12.582394
4.810995,20,12.617521
-5.466476,13,12.640544
-4.045119,28,12.690013
0.055617,20,12.728549
4.821747,31,12.782083
-0.898578,10,12.801668
-2.924206,16,12.830915
6.551388,15,12.858727
7.782113,23,12.910755
3.952909,22,12.952732
-5.911894,8,12.967036
-0.002291,19,13.00213
8.434946,21,13.049345
6.482015,19,13.088533
2.721531,22,13.125777
-2.766046,13,13.148998
-0.907943,10,13.165685
-5.193514,16,13.995537
14.446632,51,14.096514
-3.949705,9,14.119016
2.595618,19,14.153691
4.773693,22,14.19489
-1.825874,21,14.231544
0.097889,12,14.258587
1.132568,17,14.294228
8.848641,17,14.324497
-1.421134,26,14.372167
-2.351058,10,14.391447
-5.391722,7,14.403338
-2.190298,29,14.457986
18.445038,44,14.544227
-1.460913,12,14.565968
-3.256598,11,14.593679
4.788588,28,14.643913
-3.193385,15,14.670812
0.523595,18,14.704421
-0.085029,14,14.730186
1.150819,13,14.753907
3.691823,18,14.787755
2.277968,20,14.821147
-2.010949,14,14.845851
-1.721266,15,14.873055
-6.713161,16,14.907909
2.443093,15,14.938007
0.883343,33,15.004549
5.202744,22,15.050063
6.399882,18,15.084576
2.221422,12,15.107661
-4.538749,7,15.120787
-2.996249,22,15.162009
0.788454,12,15.191569
4.715284,38,15.265508
11.671174,32,15.321588
1.001026,24,15.368096
10.165694,19,15.401074
2.969486,15,15.428373
-7.927598,11,15.452007
-0.508833,17,15.486735
-2.153337,18,15.519886
0.517739,30,15.583002
12.833548,21,15.628058
10.215695,28,15.687519
-1.128561,17,15.721771
6.032664,36,15.78867
-7.716632,21,15.826603
-2.98556,15,15.853113
-4.026165,30,15.905121
-3.449675,8,15.920112
1.193129,20,15.958416
-0.414448,23,16.169615
2.377101,26,16.217291
17.889025,70,16.352235
-1.270225,12,16.373453
-1.99603,15,16.401129
4.890639,26,16.452319
2.283149,28,16.511641
10.573718,28,16.569328
-0.150429,26,16.620764
-1.4568,22,16.664362
3.097661,19,16.700618
0.300506,20,16.737879
-0.079941,12,16.760048
9.729476,20,16.79563
-4.012506,12,16.82285
1.671716,17,16.853205
-1.138009,18,16.888301
7.598866,35,16.952357
-2.7772,18,16.993052
2.216316,12,17.020519
-3.861903,12,17.043648
2.292469,25,17.086061
23.27524,30,17.144077
-3.029248,12,17.170232
1.180208,13,17.193383
1.228732,12,17.216311
14.283573,32,17.280144
7.813701,19,17.315945
1.347444,15,17.344089
9.342411,27,17.397948
-0.775568,12,17.421923
9.604788,25,17.463793
-5.215816,23,17.503419
8.958747,20,17.539187
-4.805524,22,17.578804
-4.255868,7,17.591343
0.265137,26,17.635994
2.711197,15,17.664142
-0.405272,17,17.693892
5.506788,16,17.723576
6.669673,29,17.780201
2.144914,11,17.805769
5.694555,29,17.859733
5.548455,17,17.893996
1.925136,12,17.918858
0.949006,24,17.962511
31.628094,42,18.043116
6.355618,18,18.07517
-3.693264,8,19.136214
17.70557,38,19.209165
-0.418796,13,19.23183
-0.462722,11,19.251303
5.272515,17,19.282637
2.185091,13,19.305896
3.884969,22,19.346501
10.549999,35,19.421345
5.476798,16,19.451301
20.359081,40,19.527266
-0.112164,12,19.551602
-5.031078,23,19.593949
