surrgain,optimgain,EpisodesSoFar,EpLenMean,entropy,TimeElapsed,meankl,EpTrueRewMean,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,entloss
0.06323921,0.06323921,48,19.825,8.438966,8.444254636764526,0.0076185833,3.5344085477991967,48,3.5344085477991967,3063,0.20537960529327393,0.0
0.06410572,0.06410572,78,31.45,8.373887,15.21671438217163,0.007862508,12.178176456976004,30,12.178176456976004,6192,0.2812054753303528,0.0
0.060898,0.060898,96,43.775,8.275315,21.419238090515137,0.006149062,33.41172114960965,18,33.41172114960965,9243,0.2888754606246948,0.0
0.06404642,0.06404642,109,57.9,8.209,27.541768550872803,0.007085691,50.3503807586442,13,50.3503807586442,12372,0.44344407320022583,0.0
0.0630105,0.0630105,119,75.025,8.144898,33.612836837768555,0.006574415,73.20529993340855,10,73.20529993340855,15618,0.5518826246261597,0.0
0.06098654,0.06098654,128,88.65,8.085768,39.62086343765259,0.006363263,90.52624092561841,9,90.52624092561841,18546,0.5225924551486969,0.0
0.0624448,0.0624448,136,102.55,8.042374,45.719812631607056,0.006123447,114.0535398069803,8,114.0535398069803,21549,0.6343505382537842,0.0
0.06709312,0.06709312,143,114.15,8.007508,51.73895311355591,0.0059469375,142.3403436038242,7,142.3403436038242,24666,0.7906363010406494,0.0
0.07290958,0.07290958,148,131.15,8.006726,57.76128339767456,0.0058717644,173.20596861256394,5,173.20596861256394,27573,0.7777707278728485,0.0
0.06810872,0.06810872,154,146.8,8.02234,63.80719995498657,0.0059607862,202.3699373634177,6,202.3699373634177,31017,0.6926602721214294,0.0
0.06730139,0.06730139,158,158.375,7.990613,69.82178473472595,0.005696999,226.04973687061707,4,226.04973687061707,33960,0.7874999940395355,0.0
0.06330602,0.06330602,163,163.325,7.976803,75.8473916053772,0.0065439325,237.37497565758707,5,237.37497565758707,36285,0.5667360424995422,0.0
0.06054784,0.06054784,168,175.275,7.9632607,81.89062929153442,0.0053794207,260.8607873092924,5,260.8607873092924,39579,0.9341624826192856,0.0
0.06930912,0.06930912,172,187.6,7.950241,87.89856266975403,0.006298956,274.88481609430266,4,274.88481609430266,42849,0.9371688961982727,0.0
0.06278632,0.06278632,176,205.2,7.9521513,93.88453674316406,0.006333077,299.83053646752506,4,299.83053646752506,46173,0.9402220956981182,0.0
0.064804934,0.064804934,179,212.825,7.935864,99.8818747997284,0.006428401,310.9033811005178,3,310.9033811005178,48582,0.9777123257517815,0.0
0.06567866,0.06567866,184,221.725,7.916917,105.88741326332092,0.005926736,323.35609485513766,5,323.35609485513766,51906,0.9699716065078974,0.0
0.063443154,0.063443154,188,226.05,7.907833,111.90385103225708,0.0071387403,328.96107070787184,4,328.96107070787184,54699,0.9120063111186028,0.0
0.06046577,0.06046577,194,232.875,7.9319572,117.89782404899597,0.005752189,330.64262384203624,6,330.64262384203624,58962,0.9401956424117088,0.0
0.07791808,0.07791808,196,254.075,7.9019804,123.86782813072205,0.006255682,356.7025421941556,2,356.7025421941556,62487,0.9689925499260426,0.0
0.1026351,0.1026351,200,259.75,7.871048,129.85399651527405,0.006185487,367.04271725891795,4,367.04271725891795,66075,0.8917031362652779,0.0
0.07175399,0.07175399,201,268.825,7.857864,135.8798863887787,0.007319525,380.4273562904261,1,380.4273562904261,67560,0.9334245249629021,0.0
0.04768514,0.04768514,202,290.775,7.8680415,141.95829105377197,0.006521795,401.86257448329167,1,401.86257448329167,70560,-0.04773902893066406,0.0
0.07030079,0.07030079,204,305.85,7.827771,148.01214861869812,0.0053021815,416.4830561285591,2,416.4830561285591,73914,0.955925714224577,0.0
0.054651566,0.054651566,207,325.775,7.8075686,154.0161325931549,0.006069432,434.2447115798403,3,434.2447115798403,78207,0.723994791507721,0.0
0.0729078,0.0729078,211,320.4,7.7835727,160.0339605808258,0.0060647377,429.6686197977404,4,429.6686197977404,80748,0.947906069457531,0.0
0.07038939,0.07038939,212,329.925,7.801572,166.0452115535736,0.0063029993,434.4227195567182,1,434.4227195567182,82440,0.8181749731302261,0.0
0.0516171,0.0516171,213,347.75,7.7715464,172.07340598106384,0.006800567,445.7800679518803,1,445.7800679518803,85440,-0.012149453163146973,0.0
0.09743579,0.09743579,217,353.325,7.742611,178.04737448692322,0.0056961905,451.1157805665991,4,451.1157805665991,89346,0.934111937880516,0.0
0.079385154,0.079385154,219,359.425,7.742782,184.05647206306458,0.0062272083,456.5589439434784,2,456.5589439434784,91713,0.9552641808986664,0.0
0.07047474,0.07047474,221,372.8,7.747867,190.1294503211975,0.007093082,469.09646668445504,2,469.09646668445504,94629,0.9768132865428925,0.0
0.04221958,0.04221958,222,394.1,7.801193,196.129709482193,0.0071392385,487.3785614961101,1,487.3785614961101,97629,0.1013941764831543,0.0
0.06463364,0.06463364,225,410.675,7.8090205,202.14555287361145,0.006772697,507.6387584359827,3,507.6387584359827,101760,0.6415909826755524,0.0
0.110157736,0.110157736,226,422.45,7.800427,208.1387984752655,0.0064725038,522.8193125353733,1,522.8193125353733,104079,0.7772868722677231,0.0
0.07491198,0.07491198,229,434.5,7.7993813,214.15196704864502,0.006523652,527.435887714176,3,527.435887714176,108186,0.8616098463535309,0.0
0.05727246,0.05727246,230,455.15,7.7994843,220.15723657608032,0.006740656,546.8302059588486,1,546.8302059588486,111186,-0.12838435173034668,0.0
0.09753281,0.09753281,232,469.875,7.79681,226.18730926513672,0.0067206803,564.9625339008829,2,564.9625339008829,114333,0.9490180313587189,0.0
0.070644744,0.070644744,233,480.45,7.8006744,232.2113037109375,0.0070861885,578.8612147680137,1,578.8612147680137,116031,0.9199512824416161,0.0
0.04915318,0.04915318,234,500.575,7.802173,238.1163592338562,0.0075442623,596.0342812972652,1,596.0342812972652,119031,0.05131208896636963,0.0
0.080274194,0.080274194,236,500.325,7.79877,244.03677916526794,0.007773059,592.5387851433594,2,592.5387851433594,122526,0.918169803917408,0.0
0.07409522,0.07409522,240,499.525,7.7708282,249.98284316062927,0.006405318,590.1067255442055,4,590.1067255442055,126018,0.9098538309335709,0.0
0.056816123,0.056816123,243,501.1,7.7908454,255.90475225448608,0.006264779,593.691130369959,3,593.691130369959,131631,0.6261155605316162,0.0
0.07860415,0.07860415,246,483.875,7.8113556,261.8242163658142,0.0062817875,585.9289274130439,3,585.9289274130439,135681,0.9244834780693054,0.0
0.1096322,0.1096322,247,491.05,7.816479,267.776816368103,0.0069082053,599.0212036343648,1,599.0212036343648,137133,0.8632318824529648,0.0
0.06902194,0.06902194,249,502.5,7.8098025,273.7251615524292,0.0068717254,599.7254567736163,2,599.7254567736163,139356,0.9055263996124268,0.0
0.08481905,0.08481905,251,515.85,7.8009763,279.64998412132263,0.0071786903,617.064186670928,2,617.064186670928,142650,0.9380724057555199,0.0
0.10810778,0.10810778,252,526.55,7.806942,285.6787016391754,0.0073042605,635.101461528521,1,635.101461528521,145626,0.9434235617518425,0.0
0.09150237,0.09150237,254,519.2,7.8060308,291.67191672325134,0.0068799844,643.3272571973257,2,643.3272571973257,149013,0.9037654995918274,0.0
