EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,EpTrueRewMean,EpThisIter,entloss,entropy,ev_tdlam_before,EpRewMean,TimeElapsed,meankl
48,3117,0.059320576,20.975,0.059320576,0.39969331277174164,48,0.0,8.521252,0.16537046432495117,0.39969331277174164,9.290787935256958,0.007253258
79,6162,0.066461906,29.875,0.066461906,7.0929820488667215,31,0.0,8.433947,0.3520694971084595,7.0929820488667215,16.98001503944397,0.007241257
95,9507,0.060267843,47.875,0.060267843,18.313051546588266,16,0.0,8.377685,0.42731213569641113,18.313051546588266,24.662184476852417,0.0069000227
111,12795,0.05740477,61.0,0.05740477,31.267180454225148,16,0.0,8.376786,0.34857940673828125,31.267180454225148,32.17379188537598,0.005950876
120,15906,0.06509347,77.325,0.06509347,44.890541610743625,9,0.0,8.3399105,0.5062586963176727,44.890541610743625,39.10398602485657,0.006414431
124,19098,0.063735455,94.35,0.063735455,73.37681688068821,4,0.0,8.264818,0.5396110713481903,73.37681688068821,46.02503299713135,0.0063155126
132,22653,0.06636724,112.9,0.06636724,105.31234655004457,8,0.0,8.223829,0.5868814885616302,105.31234655004457,52.211127519607544,0.006959536
138,25617,0.056055672,129.225,0.056055672,136.27679061743376,6,0.0,8.208204,0.7235298752784729,136.27679061743376,57.27185845375061,0.005571788
144,28794,0.060745753,143.425,0.060745753,158.35647668197117,6,0.0,8.179011,0.7088833153247833,158.35647668197117,61.55382466316223,0.0056854207
149,31980,0.061299216,160.975,0.061299216,196.3299603681992,5,0.0,8.1441765,0.7490538358688354,196.3299603681992,65.47104120254517,0.0063012047
155,35109,0.058222692,172.15,0.058222692,214.45572360127693,6,0.0,8.106705,0.8257127702236176,214.45572360127693,69.50330853462219,0.006549085
160,37938,0.06396433,183.6,0.06396433,242.9975113775637,5,0.0,8.099488,0.862528532743454,242.9975113775637,73.51528120040894,0.0060669347
165,40638,0.065901086,172.65,0.065901086,237.92657360248762,5,0.0,8.160632,0.9265700355172157,237.92657360248762,77.52473664283752,0.0064081172
171,43587,0.0573062,176.85,0.0573062,248.37705190624212,6,0.0,8.132035,0.7997175306081772,248.37705190624212,81.61005926132202,0.006378405
176,46461,0.06961068,183.15,0.06961068,252.9697570687837,5,0.0,8.07141,0.886222168803215,252.9697570687837,85.68114876747131,0.0054115644
181,49689,0.06312914,190.925,0.06312914,269.1844302993509,5,0.0,8.044498,0.8718679845333099,269.1844302993509,89.59755945205688,0.0067319963
188,52803,0.058319304,177.05,0.058319304,253.0539582178506,7,0.0,8.013615,0.9441012963652611,253.0539582178506,93.69284057617188,0.00581084
195,56388,0.053048726,177.325,0.053048726,250.45990910760892,7,0.0,7.979249,0.9234462976455688,250.45990910760892,97.65485644340515,0.006085084
200,58977,0.06541298,175.325,0.06541298,252.15687423180094,5,0.0,7.941772,0.8474714457988739,252.15687423180094,101.71626734733582,0.006364894
207,62205,0.07464326,169.475,0.07464326,243.61199887183585,7,0.0,7.8765407,0.9519682824611664,243.61199887183585,105.72856187820435,0.0069279745
212,65001,0.068630666,174.4,0.068630666,251.92639326495146,5,0.0,7.840275,0.9518022611737251,251.92639326495146,109.72456169128418,0.005580252
217,68223,0.0755909,172.925,0.0755909,252.2940830299463,5,0.0,7.8409386,0.9621685780584812,252.2940830299463,113.68187642097473,0.006625063
222,71733,0.06722219,180.0,0.06722219,253.68745860327394,5,0.0,7.8689613,0.8407702296972275,253.68745860327394,117.72871208190918,0.006165548
225,74622,0.07812004,191.9,0.07812004,265.42572944148196,3,0.0,7.840528,0.9473768807947636,265.42572944148196,121.74872899055481,0.0063024936
229,78021,0.05988179,202.9,0.05988179,286.09528770057767,4,0.0,7.8642726,0.9115870222449303,286.09528770057767,125.83397722244263,0.0063265646
233,80502,0.07985151,208.425,0.07985151,302.18769440431515,4,0.0,7.8904276,0.9581675827503204,302.18769440431515,129.88730025291443,0.006058865
238,83727,0.06649463,213.075,0.06649463,306.17179358511186,5,0.0,7.8741326,0.9052712246775627,306.17179358511186,133.89055681228638,0.006655158
242,86415,0.078576446,221.3,0.078576446,320.02935697080574,4,0.0,7.8256187,0.9629329741001129,320.02935697080574,137.84291172027588,0.005859284
244,88512,0.08200432,229.2,0.08200432,331.5786566654048,2,0.0,7.843369,0.9626394957304001,331.5786566654048,141.8759114742279,0.006446941
246,91956,0.116855815,250.25,0.116855815,355.70129789143016,2,0.0,7.858524,0.9758450631052256,355.70129789143016,145.92631793022156,0.0058990633
251,95301,0.07090847,256.175,0.07090847,361.477413033018,5,0.0,7.853878,0.93316600471735,361.477413033018,149.89860773086548,0.005887203
255,98181,0.079739615,262.875,0.079739615,381.68461096129454,4,0.0,7.819462,0.9564615301787853,381.68461096129454,153.9206292629242,0.005931427
259,100464,0.084945425,254.075,0.084945425,381.64667462026216,4,0.0,7.8270383,0.8485946655273438,381.64667462026216,157.93945574760437,0.0067680017
265,104076,0.07150096,245.45,0.07150096,379.22546387042183,6,0.0,7.818908,0.9092972651124,379.22546387042183,162.0112385749817,0.006917001
269,106959,0.07807535,241.15,0.07807535,379.4208637471759,4,0.0,7.7595673,0.9254631102085114,379.4208637471759,165.9671277999878,0.006406354
272,109794,0.07381958,249.075,0.07381958,387.86736611051526,3,0.0,7.7805777,0.8651417940855026,387.86736611051526,170.106547832489,0.006750812
