# {"env_id": "Walker2d-v2", "t_start": 1555516703.6493359} 
r,l,t
-1.518071,26,13.660714
2.336288,11,13.738067
1.198566,24,13.890051
-3.450317,17,13.978664
11.595654,27,14.144461
1.639545,14,14.250325
-2.484835,11,14.331088
-1.186157,12,14.405388
-2.661314,10,14.503895
-0.366866,17,14.61938
-1.394692,24,14.792241
-1.686508,8,14.849793
-0.446025,13,14.943539
-1.779354,15,15.043993
0.946728,20,15.199722
-0.037013,18,15.330018
-2.599437,9,15.397422
2.298651,13,15.499046
-13.593421,19,15.630134
-3.510103,9,15.691149
-5.779208,20,15.84006
2.105362,33,16.125111
3.64919,19,16.268772
1.980584,13,16.372821
2.551977,26,16.566938
-8.615551,12,16.643237
7.111548,19,16.783993
3.417633,16,16.904756
5.716137,35,17.180618
1.733965,22,17.337294
-4.125394,20,17.473128
-9.725712,16,17.586078
2.735124,14,17.691484
9.256489,28,17.88917
-1.712526,8,17.950528
-3.755557,27,18.154167
-2.849423,11,18.222327
-2.427356,15,18.319221
-2.038629,17,18.437775
-0.425443,11,18.522743
4.810995,20,18.665864
-5.466476,13,18.75722
-4.045119,28,18.953792
0.055617,20,19.093369
4.821747,31,19.3017
-0.898578,10,19.38632
-2.924206,16,19.513813
6.551388,15,19.61383
7.782114,23,19.805751
3.95291,22,19.964597
-5.911894,8,20.034407
-0.002291,19,20.199298
8.434947,21,20.376305
6.482015,19,20.522742
2.721531,22,20.668768
-2.766046,13,20.772257
-0.907944,10,20.849342
-5.193514,16,22.362758
9.782142,50,22.687871
-2.996222,10,22.749806
2.179729,19,22.879149
3.989153,22,23.003806
-6.546876,21,23.15588
-0.260794,12,23.233411
3.588552,30,23.430525
-2.983611,8,23.489281
-7.661526,21,23.637984
-0.528801,11,23.70749
-5.551403,7,23.754174
-3.860332,29,23.975005
9.339127,56,24.410893
-3.348114,11,24.49754
-1.608268,27,24.700427
-6.322189,22,24.854719
-2.991827,20,25.003178
2.193595,13,25.104056
12.704627,25,25.297992
1.986094,21,25.467075
-0.453108,12,25.569253
-2.694768,18,25.693354
-8.880096,19,25.884153
-0.126203,34,26.183484
3.595418,24,26.353897
-4.182072,11,26.442663
11.778871,24,26.634536
-4.549375,8,26.709985
-3.631816,21,26.882463
-5.023532,8,26.932443
0.248328,11,27.02949
5.517478,31,27.278584
8.458276,19,27.411913
-0.828828,15,27.518975
1.003677,23,27.691065
9.493109,19,27.806674
2.828503,14,27.914336
-2.011873,9,27.994178
-3.072589,11,28.089399
-1.796804,10,28.154952
-1.685663,25,28.351904
3.414107,21,28.518532
12.542377,21,28.671128
6.534923,35,28.928892
8.032586,29,29.158418
3.234063,33,29.442912
-2.535397,21,29.609669
-7.109729,25,29.845842
-1.899083,11,29.919943
4.443458,15,30.060615
1.319642,27,30.767669
-0.766076,11,30.848047
2.103741,23,31.019228
6.75503,40,31.339628
6.559347,27,31.543253
1.223458,11,31.625614
1.170947,15,31.76092
-4.735304,24,31.93065
2.382784,28,32.131073
11.128383,27,32.358584
-2.202372,27,32.577718
-1.394367,23,32.75708
0.355974,19,32.923803
-2.240502,18,33.063676
-1.635842,9,33.137357
-4.00507,11,33.214303
4.184496,15,33.323744
-6.047522,11,33.406757
1.491311,17,33.546803
0.985694,28,33.744466
7.618518,31,33.949229
3.998222,18,34.080759
-0.869628,9,34.152934
-5.309948,13,34.232537
7.858102,23,34.40064
16.741625,31,34.626872
-2.373978,11,34.722732
5.004781,25,34.913784
1.161055,18,35.052464
5.265624,16,35.184864
0.793041,15,35.289342
0.226133,16,35.39914
-2.576853,21,35.569309
-2.697438,15,35.678577
12.837628,27,35.921032
-5.136756,24,36.115077
6.828929,21,36.274723
-5.753858,20,36.419486
-5.555234,8,36.478046
0.075653,25,36.670699
1.984678,14,36.790795
-5.821833,12,36.881698
6.414881,23,37.069564
-6.097071,18,37.20213
1.08794,19,37.343128
-5.203425,22,37.512821
0.627408,28,37.743514
-3.401043,24,37.934455
27.13671,44,38.278027
-3.615618,22,38.453104
-1.153373,10,38.55643
1.051398,15,39.770344
19.621362,38,40.047686
-6.704866,34,40.271729
-0.170418,56,40.643996
12.199259,37,40.893227
3.341043,16,41.033918
-0.466404,16,41.144934
5.498574,22,41.328492
-10.319849,19,41.452244
5.045932,28,41.662214
12.479171,26,41.884485
1.814661,23,42.04956
-0.824996,17,42.1617
-5.899496,28,42.333429
0.580376,22,42.514216
-3.328033,32,42.749423
-8.244613,27,42.939858
2.324014,11,43.015015
-3.429529,24,43.187276
5.867727,32,43.410271
2.763903,23,43.581782
3.743273,34,43.815207
5.350992,29,44.054792
-2.783574,29,44.269701
2.506708,25,44.453868
1.698844,17,44.573283
-1.099524,24,44.759136
27.20109,43,45.092565
-6.352963,23,45.264663
6.198571,27,45.46807
-2.106581,29,45.682189
-8.14382,13,45.776934
11.869075,33,46.03165
7.340581,33,46.290201
0.495397,20,46.445589
-2.158724,13,46.534674
-2.315981,22,46.704904
-1.072635,20,46.852148
4.257206,29,47.088247
3.136314,13,47.180173
5.620305,32,47.981555
-5.289623,18,48.208068
-1.947792,15,48.342302
3.426704,17,48.521379
3.879418,19,48.713597
9.026573,52,49.223528
1.386216,15,49.390406
15.08395,39,49.767802
2.454707,37,50.108028
4.567599,46,50.534596
17.943148,39,50.921766
41.150815,65,51.554334
0.044265,34,51.885769
4.91312,18,52.043571
6.98745,36,52.366917
2.813149,33,52.642059
13.508039,31,52.918636
-0.666349,38,53.281724
-3.455128,20,53.438332
-5.955137,20,53.583983
-1.15876,24,53.768211
-1.940252,24,53.955878
1.465996,24,54.123399
4.072008,27,54.3182
-4.100588,20,54.474446
34.756746,52,54.858998
4.374134,40,55.167773
6.804007,35,55.444925
-4.261183,31,55.682054
2.241122,19,55.84287
13.726458,34,56.135668
16.927175,87,57.283602
-5.446673,39,57.617637
17.885483,47,57.967552
5.618495,50,58.426922
6.573925,39,58.734396
4.236468,31,59.021772
-5.442865,21,59.204774
3.332123,36,59.491772
17.548392,50,59.913943
4.282181,18,60.061389
4.771685,26,60.254679
13.222872,58,60.766421
2.414646,28,60.974784
-1.71293,16,61.090398
-3.759236,51,61.494743
-2.414905,13,61.600745
13.76301,40,61.894122
-2.533793,34,62.138414
21.863431,48,62.523887
11.247444,34,62.772892
1.290928,37,63.020072
8.423628,33,63.246307
1.596887,44,63.601327
-5.990959,23,63.781886
7.680274,45,64.115296
4.04111,15,64.225832
3.340019,18,64.358324
15.050474,36,64.608395
18.863936,47,64.953429
7.15977,28,65.150311
1.36914,37,66.039901
6.254618,48,66.399962
-0.672248,33,66.628153
16.851365,50,67.007261
0.655983,12,67.113018
14.659884,50,67.501271
18.515985,44,67.887756
2.973616,33,68.16818
-1.115199,69,68.823255
3.751877,14,68.979045
-3.248221,25,69.213985
13.278134,39,69.555392
7.011022,87,70.24453
-2.858832,36,70.517342
-6.934607,29,70.711634
16.596119,36,70.964509
0.720357,28,71.195093
25.246606,80,71.764041
16.074019,29,71.95964
7.640284,36,72.23322
1.32345,38,72.517417
18.24488,44,72.842868
13.580582,48,73.177715
12.447181,38,73.478496
10.266042,31,73.727677
-0.3803,15,73.836347
2.892137,32,74.524184
1.094454,29,74.755277
9.568077,57,75.191495
17.17744,40,75.475743
3.929972,44,75.826944
-2.365904,29,76.04294
8.50151,74,76.58243
23.247368,55,77.033294
-9.330418,48,77.406156
1.682788,30,77.636869
10.958776,34,77.902936
-13.179744,57,78.417016
-4.534395,44,78.808441
-0.595839,10,78.907853
25.60002,51,79.355163
-4.363478,43,79.767471
-0.668457,21,79.941804
-2.21785,26,80.163471
11.224428,27,80.339354
22.797184,47,80.714605
17.036037,51,81.08348
-7.921869,39,81.370091
-0.782052,48,81.75035
30.271899,64,82.227386
9.743815,57,83.131215
32.463714,82,83.766265
1.408066,40,84.065547
35.5479,60,84.513765
11.356434,94,85.230828
25.852091,71,85.758443
39.510811,65,86.271626
11.907181,58,86.7188
19.214739,59,87.188133
-1.785466,61,87.748776
5.183282,49,88.192567
10.574821,67,88.718904
9.510348,25,88.909812
49.933138,119,89.93455
7.82906,63,90.44422
7.358933,36,90.715925
-0.707853,37,91.001106
-8.753359,77,92.148316
6.797335,71,92.660124
6.787769,43,92.968385
4.806194,33,93.210675
8.570629,49,93.589347
41.467402,176,94.911008
97.734943,79,95.485238
0.447691,27,95.694016
4.631974,37,95.957496
30.468893,78,96.497072
5.317399,107,97.333118
1.266923,74,97.958818
-1.86168,24,98.15095
22.048587,71,98.753165
33.813426,97,100.337676
-16.299942,83,101.089479
3.407675,57,101.636567
-8.836152,91,102.532839
81.4907,103,103.494382
-10.716149,81,104.235596
18.292506,37,104.581367
-7.543582,75,105.146147
6.204496,42,105.485878
8.577906,40,105.805615
-3.032247,30,106.05871
19.087705,51,106.44533
1.76072,29,106.657091
2.067358,63,107.232493
7.882093,112,108.259884
12.593566,35,108.555037
8.290789,31,108.832679
19.292529,91,110.186144
32.723664,92,110.826236
35.911218,116,111.676274
13.353215,115,112.547456
-17.049074,57,113.018535
198.374403,146,114.087693
22.64577,55,114.509157
-3.344279,98,115.193407
204.16974,141,116.203734
-7.563961,75,116.756461
23.53274,99,118.101524
183.783359,146,119.20672
4.513694,27,119.420156
8.222004,40,119.667892
244.295283,192,120.994383
4.283428,103,121.698485
56.951847,105,122.490881
