EpRewMean,surrgain,ev_tdlam_before,entloss,EpTrueRewMean,TimeElapsed,optimgain,EpThisIter,EpisodesSoFar,EpLenMean,TimestepsSoFar,entropy,meankl
10.085829,0.06022665,0.630742073059082,0.0,1.0447261783887454,27.47947907447815,0.06022665,51,51,19.35,3102,8.477219,0.0078004603
13.017252,0.058006693,0.6946071684360504,0.0,4.845189291251975,53.621180057525635,0.058006693,30,81,32.85,6378,8.433015,0.007286958
16.843882,0.05603005,0.6664436757564545,0.0,10.459550007801445,79.44295716285706,0.05603005,17,98,45.525,9507,8.367854,0.006925173
21.770847,0.062162165,0.6155098378658295,0.0,21.636184657721927,105.85213255882263,0.062162165,10,108,61.775,12465,8.349191,0.0061157946
27.30362,0.061778776,0.74867844581604,0.0,27.17197978367708,130.98457384109497,0.061778776,9,117,80.075,15600,8.274075,0.00615249
32.23916,0.064796664,0.8701688200235367,0.0,34.19380914726995,156.81597900390625,0.064796664,6,123,96.4,18363,8.205948,0.0068986234
36.16137,0.06058623,0.9102686867117882,0.0,50.36761488524684,182.58300232887268,0.06058623,6,129,110.95,21273,8.21006,0.007033443
39.5125,0.05861657,0.8119940608739853,0.0,59.66945959526255,209.05414485931396,0.05861657,5,134,124.45,23676,8.210221,0.006071694
46.964157,0.058496784,0.8791469484567642,0.0,85.00065391516051,233.8398962020874,0.058496784,4,138,153.225,27894,8.149968,0.0060417913
52.391075,0.0524406,0.9095088914036751,0.0,118.51802536497478,260.2066550254822,0.0524406,4,142,171.125,31284,8.117394,0.0059976783
55.626404,0.056708172,0.9275460988283157,0.0,140.20585823732318,285.61554503440857,0.056708172,6,148,184.475,34602,8.097953,0.006982385
59.183464,0.062013157,0.9277587532997131,0.0,177.74094024332072,311.66198444366455,0.062013157,5,153,196.65,37509,8.079211,0.0060409936
60.287647,0.060215898,0.9409682899713516,0.0,206.50688850549986,336.87065148353577,0.060215898,5,158,204.475,40605,8.131461,0.006764756
60.954895,0.060256477,0.9316284507513046,0.0,237.478855527199,363.5445337295532,0.060256477,5,163,209.85,43545,8.117661,0.006180317
61.520374,0.08149211,0.9621536694467068,0.0,269.27024163538647,389.2418339252472,0.08149211,6,169,213.85,46935,8.109165,0.005918006
61.370495,0.05975376,0.938372015953064,0.0,294.445294127183,415.40157318115234,0.05975376,5,174,219.325,49995,8.10875,0.0060608727
54.823753,0.069766805,0.9748036488890648,0.0,298.8636037550994,440.5995843410492,0.069766805,5,179,197.35,52788,8.11209,0.006628083
53.40852,0.0677371,0.9624668918550014,0.0,309.81078813068615,467.0748383998871,0.0677371,4,183,203.075,56193,8.099499,0.0062125265
51.59723,0.0567315,0.9123978912830353,0.0,320.72977746254156,492.4403545856476,0.0567315,5,188,201.8,58818,8.019858,0.0059730816
49.54087,0.059216578,0.8656705617904663,0.0,319.69057937127184,518.8215048313141,0.059216578,4,192,201.425,61077,8.015114,0.006853021
48.52595,0.070315234,0.9445055350661278,0.0,325.48012102043947,544.032173871994,0.070315234,4,196,205.325,63837,7.986184,0.0063381754
45.076897,0.053823546,0.9107883647084236,0.0,314.79062040047717,570.7258479595184,0.053823546,5,201,203.75,66966,7.9978833,0.0065322164
44.905025,0.08485571,0.9861382292583585,0.0,324.0975002698774,595.9661457538605,0.08485571,4,205,210.6,69906,7.9928865,0.0056040874
43.884308,0.073589,0.969672529026866,0.0,330.77447237919597,622.5470252037048,0.073589,5,210,215.775,73251,7.956653,0.006300724
